id,pool,user,collateralReserve,collateralAmount,principalReserve,principalAmount,liquidator,timestamp
14966277:6:0x43d64b3dc34ffea6674004a0a27170f1836a4720a934eae3421864b06ecaf026:44:44,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x967775b2974fc9b74a85ee682c279e660cd4a6ee,WBTC,1662675,DAI,327680909044747796480,0x8472ee188899569cf6ef42bb2038facae66972d2,1655277633
14966258:6:0xf742bf7b6afd5010f7d74318c58a8564399f81ace610b8487dfdd01750e907f5:54:54,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf379a0a112b700368c29cf9cbf6d575590da7109,WBTC,1435877,USDT,282021158,0x8472ee188899569cf6ef42bb2038facae66972d2,1655277355
14966237:6:0xf8896840560592de9ceb39ad671a75050c9e1d68d95f78c69f1aaa8efb394743:72:72,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x656e04dc572257c15ab647f27cf0f71a773c2490,WETH,344469018588189768,USDT,369333432,0x8472ee188899569cf6ef42bb2038facae66972d2,1655277035
14966224:11:0xb9e2a7c77df7ed652a2048bcfdbd046ea9fcdbbf56cb658c8f1cedc6102cbd9f:92:92,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3d98713b00d96ff183d6e8058f34cfd53b005722,WBTC,1734032,USDC,343023126,0x8472ee188899569cf6ef42bb2038facae66972d2,1655276838
14966219:12:0xaf5a9e8b5a41bb3b2c9da8ebecd285ffc6932772cba55bb321eb3f91e8a98421:113:113,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x213e72f7615cce6327b466206fbff0e7bfc242e3,LINK,54807559420738742661,USDT,325079093,0x8472ee188899569cf6ef42bb2038facae66972d2,1655276766
14966182:16:0xb58b60220d7209b0d56ca5a3ea5bb79ea89791fbdfdd63dcd5020dc769dbb728:87:87,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x9fa23d27bc93533cd29e6038275611c829813147,WETH,412673921553216330,USDC,441118170,0x8472ee188899569cf6ef42bb2038facae66972d2,1655276106
14966169:1:0x6ff62ef760e3517ecbbe9b6054e6169e823ec1de884585a1d9e04d00a3b71086:23:23,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xca6ee992a9db4be1f9993db7cbc36aef56134d10,WETH,365275136620139539,TUSD,390960892132930752069,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1655275904
14966167:7:0x6860f3b82e3c4c5b84a065852114337b0708a746d82d08647a1085435e3a665e:96:96,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x94ee9c600870c4199a1af8496eeb3087f2d1c32f,WETH,365711787306219586,DAI,389385825572278501376,0x8472ee188899569cf6ef42bb2038facae66972d2,1655275881
14966165:5:0x1e6b65a540f34669d333253006e24bc727e2f5365e60aad5d2c0d52b81b3a31d:170:170,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x1cc143cd356fb427887fd8e2928a2aad7c0d718d,WETH,595021632505295703,BUSD,636059306272638107648,0x2c76fdf0a97a82ce54e575c79c6b20d4a15c850f,1655275861
14966159:265:0x2e289e55990f268addf3c5c5ff675d1a831306c1e04381efb5e0914dcf942ba1:511:511,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xca6ee992a9db4be1f9993db7cbc36aef56134d10,WETH,250556309340610623,USDC,267826327,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655275796
