id,user,caller,reserve,amount,borrowRate,borrowRateMode,timestamp,stableTokenDebt,variableTokenDebt
15251032:128:0xc7352edeb73e9b20ba2871f0b3f7ddd73b9142f4a02d75215561f32870b32d9e:269:269,0x4e2c4032b6ab0d5934bf7d00bdd037cc2bd4e347,0x4e2c4032b6ab0d5934bf7d00bdd037cc2bd4e347,USDC,7500000,17421174759585260595852423,Variable,1659281074,0,6755963
15251029:111:0xda7e5ccda0d29428d3a33b1f99f2f7211fb0b834c25eb8e38c7a736e5bc4ac0d:250:250,0x9cbf4c21367400a57dd0966c0cd3f8abfa7de6a9,0x9cbf4c21367400a57dd0966c0cd3f8abfa7de6a9,USDC,100000,17421174302872249777793808,Variable,1659281045,0,90080
15251023:69:0xe43b93bd618b9139b4f8d76473492660e00de50f145917b98c7f93efb01914d3:144:144,0x9b220c39d91cabb77132d1e7a4f30c6501aa3aaa,0x9b220c39d91cabb77132d1e7a4f30c6501aa3aaa,USDC,650000000,17421173980083445840499310,Variable,1659280993,0,1035914486
15251007:283:0x7505e892fd1a5a70d8a4fb344ef8b93dd5c13ebad1d674c812707cb0c10f8605:533:533,0x4d52f587b158be5050e1eefefd37d2b78cf238ab,0x4d52f587b158be5050e1eefefd37d2b78cf238ab,USDC,9000000000,17421512811814572454052981,Variable,1659280789,0,15313542470
15251006:62:0x1afec5ce673af3fd9783795abc9261041b86b77eff3a6c0f3c976cc8356fced7:143:143,0x7caedd8541ed7db6ffc29078b94bcc63240abf04,0x7caedd8541ed7db6ffc29078b94bcc63240abf04,USDC,7500000,17421506372868704013575530,Variable,1659280780,0,6755964
15250994:178:0x7ffd813c9a042db32a41e514cfa8fd74fe673f7df875aa2517eb2c7101d79d35:444:444,0x9b220c39d91cabb77132d1e7a4f30c6501aa3aaa,0x9b220c39d91cabb77132d1e7a4f30c6501aa3aaa,USDC,500000000,17421505462070409901873102,Variable,1659280677,0,450397647
15250909:312:0xdeafb017a50405817b1de8d3d90d6daa938867b4eb5ff9eb07b3b5cec6a432c7:564:564,0x99b872d636c02e8ed1e621f26dac7594c5e896e8,0x99b872d636c02e8ed1e621f26dac7594c5e896e8,USDC,1000000,17423899180405172979060193,Variable,1659279597,0,900796
15250877:78:0xadbadf54a4698e3c63577727ac4bfb492a2fba6ab99380922f09ed2dd72d6d01:153:153,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,DAI,18344261874188140821469,17564513676449725750114435,Variable,1659279207,0,72776376321258681996329
15250828:342:0x0cbdb584c71af7e1d17550b8fefe775e6f9947cc522947be01eb7adcae5a9fcf:625:625,0x540615ace7036247dc4c4b221384e09ad0229d1f,0x540615ace7036247dc4c4b221384e09ad0229d1f,USDC,19863932,17423891815364975890197056,Variable,1659278403,0,17893359
15250825:83:0x6b638dfb26d4da37e3343a16916f978ba460856b45cf078f202339f7c7f2b6d1:190:190,0x42427edd42d9452dfce301b2ecdb0611028a8feb,0x42427edd42d9452dfce301b2ecdb0611028a8feb,USDC,7500000,17423890616626947408419372,Variable,1659278328,0,6755973
