timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,depositRate,borrowRate
1574984856,288272.2161661732302100123629457855,317323.4824469106591880806423641449,3.8197181088876,4.671842886946032
1575071872,510473.1864114699958616588837203503,718070.6744730731253707900072210919,2.233097649292536,3.490273508406048
1575157759,578684.5782465220387837266934690709,788380.8766510880332143508504765606,2.389628137508983,3.617278828719467
1575243966,562301.4120816986497715404473678452,1117383.291000154297467895637934269,1.38164817025375,3.05061889229923
1575330665,2247299.216512865835784861511188466,2720987.15434091285873829189788955,2.826161529752215,3.80206959476886
1575417140,4770980.075996625526525082282870682,6255576.092367944634423987800138898,2.53088428050057,3.687138805136316
1575502324,5608409.911746466285006089374246419,6946435.892049179748930659962734198,2.720150580654973,3.743455894016396
1575589472,6163036.397236806889161195791947468,7318338.606634333498103328460270365,2.8746293171921325,3.792775248666162
1575676731,6222934.789924464415114174133745894,7960512.344522163484575651229909281,2.587299295678578,3.677476710266944
1575762865,6360608.096826203959376277259638564,7705999.117592355498066369192204672,2.77713239273496,3.738388154743944
1575849559,6510871.695682429524236137952570697,7769286.23951908422479043290641365,2.856384947905768,3.787182305710856
1575935483,7074084.069496519320438636327092909,15058172.19017657627974051257424835,1.276055690993322,3.018068979565029
1576021296,7311761.613332429949331397914900484,14658124.28665412463436926543485163,1.375651017657653,3.064235506149061
1576108682,7608915.759303011802595116290934628,14575232.38848581251326617784608559,1.4391150936364035,3.0629910706395225
1576194216,8148501.017193103800329793573826081,14395814.35879169389348786516912986,1.6596447103872,3.25785034350144
1576279635,8066010.381032218269052258280591161,14373224.05624594452176651257854239,1.55399731443171,3.076827677259387
1576367257,8040274.73479011040988013371261546,14139620.11834358113600742474699866,1.474211873155576,2.880608568292018
1576453797,8039015.616271071073899209948068401,13984214.93486005067453227668955352,1.51081326062893,2.92013881270762
1576540538,8250508.992252835835732528295475996,13992756.15274618473645705420807391,1.537983006419211,2.898221349961374
1576626882,8030366.453727987214500623048527082,13774278.03573362170241122912794557,1.5307328202684555,2.9173622937453475
1576713534,8680594.360859839265640662616894975,13682051.18133334357882506262181106,1.698276842077152,2.974183270794352
1576796900,8774493.916165745063216852465738596,13786401.43729318373411211754593936,1.706902955009054,2.97985522071336
1576886198,8516556.732564506051066356827479876,15858988.74688705948328825246528241,3.4425645211314795,3.6017205808014465
1576972691,8543274.325030248807032518964394026,15955768.02502547160941702654183578,3.523741683489711,3.68683063623696
1577058575,8608481.422233835893715885014870093,16025316.8085752717109888285899929,3.49119621175358,3.652985707811
1577145426,8465990.380176573962222903815415543,16150748.53143615834062645726717898,3.464881372356412,3.6256446071151535
1577231951,8459878.821579177261663727067329357,16231354.40795645445645867189245614,3.521795405804469,3.685407979523178
1577317653,8443042.126447344974773595022068394,16440040.49623164746979480269607816,3.438186543992322,3.598426976755617
1577403879,9183967.612613564993341430898580877,16995142.72518286779106261075416563,3.486658529657312,3.650254395997056
1577490233,8524787.860136450082998432274768307,17743388.03351723113930605150844839,3.470995800987699,3.635067865998461
1577577422,8646442.347288460989505064799002944,17912615.82728771719509371215123112,3.479814103866966,3.644555653976478
1577662601,8738416.83640369858873817609435474,17951064.5132478718230813955416861,3.514195999347401,3.680827330604964
1577750338,9027982.47464453774958025422082949,18331583.95564494684056492233813786,3.476693758232508,3.642146246425216
1577836596,9121994.981069631096493956339911626,19002319.92747847289466084581739405,3.440002193909378,3.6047502317442765
1577922740,9166828.561442113411986731622025425,19312158.29891597457985560838468691,3.4655479739645425,3.6319015030931375
1578009524,9205643.992961805601302081336109954,19478413.6711187792037059069991125,4.343512616801919,4.5521945248162925
1578095376,9628053.569520400258463167811744111,19654751.29198921994018134343668823,4.520491326869958,4.737942859156188
1578181814,9572350.366401065393891656021230715,19820904.08160921485161075318579993,4.491192563163553,4.707926920327982
1578268298,9709004.223910542883413226116728975,20427377.72886998254845988149364168,4.474236161000767,4.690854746876816
1578355027,10070932.04621069563261552556823453,20885070.39268166327563435937598275,4.522810158438542,4.742508039574714
1578441472,10135237.51205071497420382063094844,21479290.26614627110140514679482061,4.48910765729593,4.707950729466468
1578527665,10073209.00695959163344700189327464,19639579.80987721345271012223211447,6.612440123790648,6.9226936834529655
1578614298,9982963.95939519125153370178235419,19449462.46477374150013466703716607,6.7582034916645825,7.074629506551507
1578700772,10238595.14618009493845571309398196,19434051.22514396684993991272332975,6.7062667411389915,7.019857720334709
1578787191,10179080.293821548405992204632157,19702105.75874962488863260021256143,6.6673690176571875,6.98069877521985
1578873480,10165253.68076085180207307505528082,19950025.62864422872978243450234317,6.64589017042829,6.9588556890838425
1578959769,10255674.44876119148423266276146539,20548472.87123962514181757013749077,6.683149591966719,6.9988481666836155
1579046054,11968399.96915457740694385368577515,22027892.36631041654983932993931897,6.673385509034013,6.992008719239412
1579132614,13083135.07591356973884031189183448,22271201.8803880838774956123391663,6.563402582505824,6.877031616556464
1579219050,13208876.4351001335648017649185354,22555440.09651955370087852809679238,6.628054246424012,6.94543061096994
1579305481,13627141.6764485813749092663379093,23299691.60030649958876718403978163,6.65983574102036,6.97963928853214
1579391866,13629332.32958299727113158234640183,22911610.93570934101036909616868626,6.689156989868704,7.010244892628276
1579478288,13495771.53395207372355329012071558,23453132.50135563013479619140121463,6.820814410469139,7.1492409485437175
1579564663,13648195.10534525863021811467581865,17997012.89038410779482257778070685,6.704582286781603,7.009848743402862
1579651185,13783628.35634498330878363151834782,18348591.00403193103127087151264085,6.7715377507254075,7.081228662637335
