timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,depositRate,borrowRate
1616197925,138848118.939420341,720956934.214712518,1.098756305275596,7.131497201752188
1616282671,142337104.127961496,807400614.900551144,0.949727681278662,6.7341077255222595
1616370109,152466363.09643227194589,876354420.32815906106982,0.9279520157038175,6.66716607450596
1616456979,142948083.33427369775,848177966.6621587955,0.878006788387386,6.51203215904516
1616543819,141566767.254595106,1130607212.677498596,0.546052654668041,5.45123585485595
1616629028,132242662.34756474002529,1153374748.22703662913374,0.4747096879129355,5.1753170773947435
1616711723,132460762.69693569835,1117126710.12107960535,0.5014411561673635,5.2862192721404165
1616803068,133426884.521898151,1187625494.2121086805,0.4624132358563025,5.1448940540953725
1616887527,138278112.87352340745,1255188475.93675196205,0.4448127989294725,5.0471102026559255
1616975658,135357158.2941682856,1193130017.256038579,0.465042524756457,5.124001223664777
1617062302,143829315.6525716637,1221071531.3989663641,0.494878451824265,5.2517282926681475
1617147214,148576626.72430301386971,1798860596.88978467364092,0.288629128771473,4.3681464115884785
1617232736,143282811.7962506088,1888043537.37220191,0.2541243626521005,4.1857590498658515
1617321362,143081786.7712606589,1852609243.2077265361,0.262333181255859,4.2458310698653665
1617406682,147073516.851062586,1840751408.231119497,0.2750700466940615,4.3034224214302875
1617493664,177771358.76016142045,1819143737.68458373785,0.3711625327013955,4.7476573421521335
1617578340,176237852.86087950815,1869561856.83944467545,0.354968632890819,4.7069614021695795
1617663001,177990351.38777436171823,1908075394.20473494478336,0.346931843428072,4.6489325764328565
1617752307,173655007.0983948173,1843584874.8920195365,0.349757574907345,4.641442434763255
1617839967,164903055.88971025,1774319771.816773,0.3457395526069335,4.6500997279897725
1617924643,170089009.63910355770508,1854224485.96130569490156,0.334265799222708,4.554996171336252
1618009283,175924906.7135668378,2018371324.808744101,0.309199708892048,4.434277087884904
1618097383,209212257.8054215601,2108106008.58639571685,0.386186202788292,4.8642074284080755
1618183171,210099987.06862213755,2180483696.1339409572,0.365125811751231,4.736738035538355
1618267275,206458761.6191744525,2169047149.60703224,0.356055847600397,4.6758848798395405
1618356472,218338869.37234171365,2298381538.20512300115,0.354174837930136,4.660352685715544
1618443573,227614178.8494685826,2402239952.09518573735,0.350990825408385,4.6304462881977825
1618530516,236401151.34749666490738,2748172399.90662803066217,0.309524056532474,4.497786201961503
1618617382,226561237.51033635435,2632037154.71951231085,0.311430626387257,4.522491298568152
1618703933,224090676.135549778,2512112501.39844738725,0.319321032673296,4.474585759127376
1618788359,207385377.785202336,2350437039.2111718016,0.316172211100434,4.479238626253404
1618876060,209345154.82144791615,2390033564.69689159425,0.311382481095983,4.443705553337831
1618961712,211464574.07842746,2390408236.88828784,0.3260920938505785,4.607705750964471
1619047014,199726379.6301099485,2256762831.53514752425,0.318302388744052,4.495731872404928
1619135905,191713455.80475308525,2173697698.002745977,0.315980252691987,4.478334249631281
1619222136,130721208.4141381948,2079121263.5728266912,0.19369831557944,3.850965463328704
1619307393,129556923.9190035678,2074269018.7665275522,0.194496581707852,3.89248044247516
1619394751,127916472.124592859,2073605942.7322921526,0.1890555717634155,3.8308861913160345
1619481373,144570409.93049448025,2173442251.3184420136,0.209939791017359,3.945240356875258
1619567308,213540760.73433766845,2040331010.90113803095,0.4138081434159075,4.9422975794196525
1619654385,214070452.7640697125,2021833751.4282846375,0.4163697748216825,4.9156157083291895
1619740685,216886779.9156100672,1964292762.7741716672,0.446172530119908,5.051100121718484
1619826811,229416078.12990635675,2089455020.4407685235,0.442847380164,5.041656680229344
1619913233,234707907.6138028642,2135578790.7250641832,0.4435832056717115,5.045137250984391
1619999576,239691117.0712171481,2112542812.77644089325,0.460467539571494,5.072973726070862
1620086075,240505593.9392080161,2137120143.31108399845,0.460442518042,5.114335202236
1620172753,233633185.906666695,2090111793.6671820825,0.451140301416124,5.044947173676882
1620259168,247144530.0866254174,2243451789.03311634035,0.446989312059862,5.0719257876902395
1620345486,242557364.3214147804,2201718599.801423136,0.443797826774632,5.035499192937512
1620431260,249303561.0514967112,2259638949.8651349732,0.451129045510792,5.111182319311496
1620518170,258760636.975155,2575946263.870385,0.385984289745576,4.803062402281414
1620597772,247171177.0286706668,2522962598.1030584484,0.368526160209668,4.702094161605687
1620686839,255130364.7993088004,2486352639.3736720313,0.3958937022769785,4.8226881624339285
1620776508,259787911.12281545465,2533607118.66211123365,0.395384972765574,4.82003847615862
1620863811,249723671.357402,2222178521.1185275,0.451793095385344,5.025379188058068
1620950346,242534679.6541562383,2246363795.1094745311,0.435577154151393,5.0429115474825
1621034128,259442495.9224319403,2221554353.2922324337,0.4959250148653965,5.3081337541198565
1621123166,198365154.65178591375,2143325815.893722394,0.342666116033095,4.628113327961035
1621208403,193899822.52613926125,2100518607.55337144895,0.335211380065936,4.539185056111365
1621295730,183448904.06822029558431,1978445133.91561262007661,0.341900810851689,4.609130804043632
1621379086,183756397.8581633874,1974679058.7750643482,0.34327918695924,4.611174291472672
1621468647,120884230.520683116,1481908859.152794204,0.2803195192478055,4.295514574402794
1621555104,50762494.59922702253823,1651329149.31229104771754,0.074330458070022,3.022508384932344
1621641484,84401491.05649245655,1498374739.8072475255,0.16347052142344,3.6276032719217575
1621726619,64502071.8296293994,1511315293.28941936305,0.1136037379386,3.327239381810136
1621814362,62473067.41834955,1285191751.91783855,0.135012880637632,3.4718449081408
1621900586,106053215.2746273228,1398787109.6005093284,0.256467010644096,4.22833418961795
1621986916,120474227.4628191591,1392476392.1676313264,0.305698422320225,4.4166898329741
