timestamp,date,totalBorrow,totalValueLocked,utilizationRate,liquidity
1557266749,08/05/2019,566.3037116160551804526682820348109,10143.19657764109733050989340556288,0.05583089189697581,9576.892866025042
1557359676,09/05/2019,4399.002455855155031249980005961374,14892.6259291280424938882884941213,0.2953812495384899,10493.623473272888
1557435375,10/05/2019,5800.532466328007277654225411955972,18252.63642532909760317964268186809,0.3177914867289328,12452.103959001088
1557519596,11/05/2019,5832.298106226073184492289846282399,18558.52396577091686482005294238791,0.3142651924788352,12726.225859544844
1557618212,12/05/2019,6159.199129719968926812752024112838,20039.6223732804634064191268310697,0.30735105756944037,13880.423243560495
1557791678,14/05/2019,6286.307657203972341374969763460148,20145.38958956397015008612008628363,0.3120469638601829,13859.081932359997
1557873111,15/05/2019,6285.38829975877657865380731642258,20691.77212638486997002280949966469,0.30376268699306025,14406.383826626094
1557964597,16/05/2019,8463.37474903143663966045070529179,41335.42354276822018007424994926545,0.20474871245179568,32872.04879373679
1558045575,17/05/2019,12599.19630249405473114307606912634,45408.5512142323153256265070891881,0.2774630761297029,32809.35491173826
1558131908,18/05/2019,12654.28327440781468422908683186924,36981.25790851632485316543503366878,0.3421809854524632,24326.97463410851
1558206105,19/05/2019,9923.895089814336171467451432948394,36140.24614312922896543836109646156,0.27459400941852763,26216.351053314895
1558289783,20/05/2019,8781.212163645556606147572103171909,35480.84305132963771486200132697437,0.2474916436157365,26699.630887684085
1558393438,21/05/2019,8932.597525120626937695322259501068,39109.63036629944417962513774587776,0.22839892480338544,30177.03284117882
1558481664,22/05/2019,11147.45112436909321400132232525903,51748.52013214858005946445521616029,0.21541584369760133,40601.069007779486
1558567693,23/05/2019,17449.31114468874549824080683453047,58327.3009449748459834517186850737,0.2991619852451287,40877.9898002861
1558655958,24/05/2019,1201998.534482018896140752379107216,4659223.391037443371183329350027142,0.25798259357862136,3457224.8565554246
1558742182,25/05/2019,2320557.089989079056587644831468193,13253572.76660356703285499154633128,0.17508917262192372,10933015.676614488
1558828616,26/05/2019,3452025.770239641232666973472638032,15063099.98629987050433471265777184,0.22917100552869688,11611074.216060229
1558914716,27/05/2019,4680229.273817597180789576896035744,17494148.02674381496612101252198395,0.2675311347922056,12813918.752926217
1559001575,28/05/2019,4835925.285092949942394938626041915,19577112.69808948896540740091273207,0.2470193311787434,14741187.412996538
1559087735,29/05/2019,5502548.111271921147126039121887386,23127225.26452640863087766456548198,0.2379251314558682,17624677.153254487
1559174254,30/05/2019,5796544.101193315052437693092224356,23563357.21365455946498751184902411,0.24599822718955847,17766813.112461243
1559260609,31/05/2019,5941866.052709484507655701553299638,22532371.81548854747193443955169935,0.2637035329154785,16590505.762779063
1559347083,01/06/2019,6319395.845336228210223209217598884,25072022.18746262347507080115634923,0.2520497069636557,18752626.342126396
1559433493,02/06/2019,6312298.367198910888032688549939937,25251152.17579368624645199751012354,0.2499806077462881,18938853.808594774
1559519721,03/06/2019,6646404.546159795508704497407413067,26576800.88564157209209692263369666,0.2500829416888394,19930396.339481775
1559606327,04/06/2019,6603944.143712959962001652204468015,26619866.05991894464271253249897641,0.2480832972205071,20015921.916205984
1559692798,05/06/2019,6549105.675672350598507146589234033,26123551.70847890435837511492612525,0.2506973687481672,19574446.032806553
1559779056,06/06/2019,6591822.588867302377517409808492842,26919004.93150003534622990231359709,0.24487616112264587,20327182.342632733
1559865537,07/06/2019,6695333.861496866543959384603792313,28092487.39228020654246145854472807,0.23833182758094748,21397153.53078334
1559951471,08/06/2019,6793237.686658668889997584364136401,27995691.67041512784144933852590236,0.24265296841504816,21202453.98375646
1560037956,09/06/2019,6761514.109580130456278195865101324,27457463.21431101099626592289695575,0.2462541443397431,20695949.10473088
1560124673,10/06/2019,6744613.281405293524885500152967323,26628640.02819582514374168120544535,0.2532841810270347,19884026.746790532
1560211141,11/06/2019,7999233.750021894504569792432246516,31667654.19722649694318271522293507,0.25259950421974986,23668420.447204605
