price,timestamp
494996240439108,1652689087
500004940000000,1652685664
494775281578830,1652682836
489327620000000,1652681693
481608150000000,1652671130
476808889076504,1652665407
472010000000000,1652662125
467156830719990,1652652513
471897873571779,1652645933
477240000000000,1652645058
482670000000000,1652633036
487769810000000,1652630283
482492961979272,1652614829
487470296346551,1652613025
492400000000000,1652594296
497385472346920,1652585327
492247060406736,1652581013
487315048118744,1652569841
492370000000000,1652565321
499163260278072,1652556275
494140000000000,1652553194
499284651292663,1652547225
504638418722872,1652545404
509826478682199,1652536453
504719626781047,1652527955
499553506952884,1652526974
494533780000000,1652522916
489582095255161,1652519493
494630000000000,1652504354
489659574253326,1652502753
484783806383520,1652493293
489704147286295,1652491191
494778124478235,1652485408
489239360228276,1652483546
484254084201853,1652468100
489375870000000,1652465302
484206050000000,1652459885
479060862709061,1652459204
474018879755962,1652455425
469297445484171,1652451082
474193787369793,1652443455
479092013065543,1652439471
484044004769691,1652428525
480958738569486,1652427259
476108811963269,1652423154
471318486057935,1652419585
476405443239465,1652418981
481228187283592,1652411618
486422587883772,1652410986
491430000000000,1652408891
496475697822802,1652404095
501710000000000,1652403280
508209652904727,1652402180
513447220000000,1652398490
518685606946010,1652396902
524129914659912,1652392949
529639221648172,1652391454
524240000000000,1652390619
519047944776097,1652383406
524760000000000,1652382321
519460000000000,1652380402
514148865722193,1652378023
507844675604259,1652377201
502200000000000,1652375970
496390000000000,1652373248
501542490000000,1652372799
508009379569457,1652371298
502815723734400,1652370698
497837326199451,1652368207
503459840000000,1652367632
509790000000000,1652367452
514987327238976,1652365600
520630021965761,1652364876
526173891843684,1652362847
519481102309654,1652362551
513128033778377,1652359270
519300010025480,1652357573
514063991062218,1652355861
508803180000000,1652354596
514503336789747,1652352816
519863200000000,1652352141
526051424024312,1652347756
531780755092784,1652345987
537367944855642,1652344991
531666336046274,1652342693
525886881376046,1652342195
531818830587723,1652341959
537996990313637,1652341649
545457029178560,1652341128
551644230000000,1652340643
557676550000000,1652340547
560574840000000,1652340547
563484830000000,1652340472
573188835372516,1652340316
572940000000000,1652339977
565030000000000,1652339576
555845222307356,1652338992
549640000000000,1652338781
544117267496924,1652337853
537711627464466,1652337265
543596092911760,1652336855
549890610000000,1652334943
543050000000000,1652332891
548579808422069,1652332625
541077454882169,1652332363
534657456912954,1652332135
528111992443161,1652331220
522538990000000,1652330980
516677430000000,1652329980
522364430000000,1652329917
528732140979816,1652329557
522819007141387,1652329508
516057022530250,1652329221
510944666437786,1652328878
505855500721823,1652328398
500812423327890,1652327882
495764787396655,1652325900
490750172280085,1652325059
485555218244085,1652323544
480620000000000,1652323104
475398939504862,1652320891
470479244462777,1652318748
465786420504770,1652316265
470630009990039,1652315642
475551987700900,1652315018
480587560000000,1652314049
485833722308944,1652311907
