timestamp,price
1653996597,16043197270000000000
1653910158,16117150480000000000
1653823751,16248507000000000000
1653737339,16223266160000000000
1653693394,16582808050000000000
1653636612,16257519102584940000
1653636390,16252844360000000000
1653616797,16589878390000000000
1653608909,16241891950000000000
1653554206,15919177390000000000
1653553457,15604456044633235000
1653521388,15219011070354084000
1653434964,14983289016261930000
1653348556,14766916000000000000
1653262155,14835465862196346000
1653175747,14902115660590228000
1653089365,14878858553187310000
1653002964,15002826452800743000
1652916553,14916094110000000000
1652836253,14608964130000000000
1652749828,14727540500736380000
1652663411,14651299000000000000
1652576996,14613450600000000000
1652490617,14479112056851300000
1652404217,14579344010000000000
1652391142,14889815366289460000
1652348137,14593546060000000000
1652339630,14910647510000000000
1652329493,14612946410000000000
1652327937,14310887190000000000
1652323201,14027084370000000000
1652286983,13709412700000000000
1652273425,13440363370000000000
1652228801,13148474660000000000
1652218993,13416867230000000000
1652187619,13152702880441930000
1652143550,13421317110000000000
1652105542,13702074745529405000
1652019147,13629918840000000000
1651953051,13358160364827675000
1651866631,13389860498666433000
1651780206,13297486710000000000
1651693793,13477088948787060000
1651607355,13585148490000000000
1651520877,13558580460000000000
1651434459,13685507048036130000
1651348053,13735823606879594000
1651261631,13740280100000000000
1651175220,13544629554381690000
1651088737,13609982000000000000
1651002350,13487995683841380000
1650915859,13374690630000000000
1650878822,13648641600000000000
1650792394,13470177520000000000
1650705984,13365748195674000000
1650619577,13473138750000000000
1650533153,13517991390000000000
1650446765,13360932842190671000
1650360367,13386848324111720000
1650273954,13413771478344113000
1650187526,13290802764486970000
1650101129,13300270097531346000
1650014757,13273910653458774000
1649928318,13247078270000000000
1649841860,13133888556759326000
1649755353,13284104048786212000
1649668894,13383016730000000000
1649624712,13113791514657116000
1649538284,13153992360000000000
1649451843,13167198220000000000
1649377857,13437248051599030000
1649291439,13594344752582930000
1649205025,13565016593223298000
1649180473,13297363620000000000
1649093968,13230347702088280000
1649007581,13287398000000000000
1648921167,13321421231467896000
1648834733,13451329520000000000
1648814144,13726436000000000000
1648727738,13836801600384357000
1648641308,13880997524396905000
1648554926,13838915029061720000
1648473427,14122319520000000000
1648473172,14124811070000000000
1648386717,14194788090555225000
1648300303,14194598890000000000
1648213879,14091064602663674500
1648127470,14201819000000000000
1648041050,14290024093782244000
1647954638,14263300527742120000
1647868207,14132762000000000000
1647781719,14417916780000000000
1647704032,14134185666254222000
1647617604,14135862820000000000
1647605929,14426538410000000000
1647519529,14659248014539017000
1647453497,14958863126402390000
1647367083,15125642915485606000
1647280602,15264845061822620000
1647231542,14964774733038025000
1647145130,15130882130428200000
1647058710,15136546300102912000
1646972304,15155381003980893500
1646885892,15327733103515753000
1646799454,15340000000000000000
1646785843,15034897880000000000
1646699439,15203911457451879000
1646613015,15132169435781176500
1646606628,14833821460000000000
1646520197,14774971410000000000
1646433787,14950000000000000000
1646347385,15006002400960380000
1646260977,14856657829286587500
1646174558,14878899982163789000
1646088145,14907346290000000000
1646068945,14614938080000000000
1645990267,14325462930000000000
1645917812,14039122967807918000
1645831431,14087338590000000000
1645825313,14392386688781000000
1645738904,14582841089242000000
1645733080,14296843650000000000
1645715217,14619843475447052000
1645686718,14925117440000000000
