Date,total_value_locked_(tvl) ($),gross_merchandise_value ($)
2019-07-07,437338187.87,0
2019-07-08,443343259.21,0
2019-07-09,466967211.56,0
2019-07-10,470895366.79,0
2019-07-11,464515891.70,0
2019-07-12,415707720.30,0
2019-07-13,418931130.95,0
2019-07-14,402788805.75,0
2019-07-15,367200046.65,0
2019-07-16,363696330.68,0
2019-07-17,375940987.79,0
2019-07-18,352295628.32,0
2019-07-19,340124977.13,0
2019-07-20,335732017.19,0
2019-07-21,347864237.86,0
2019-07-22,379385819.56,0
2019-07-23,326654235.53,0
2019-07-24,299389606.08,0
2019-07-25,333327647.71,0
2019-07-26,307693133.49,0
2019-07-27,299751591.67,0
2019-07-28,285266012.75,0
2019-07-29,289864020.68,0
2019-07-30,289528268.67,0
2019-07-31,288660675.72,0
2019-08-01,293461759.35,0
2019-08-02,290558748.20,0
2019-08-03,298222787.63,0
2019-08-04,301847405.95,0
2019-08-05,297336305.96,0
2019-08-06,316363688.73,0
2019-08-07,300288667.69,0
2019-08-08,299278736.15,0
2019-08-09,296296933.15,0
2019-08-10,276635312.97,0
2019-08-11,272672339.69,0
2019-08-12,281663708.82,0
2019-08-13,282282671.57,0
2019-08-14,285695239.94,0
2019-08-15,280685032.89,0
2019-08-16,259369986.70,0
2019-08-17,259186355.14,0
2019-08-18,260035919.18,0
2019-08-19,264679704.08,0
2019-08-20,282675119.05,0
2019-08-21,275883048.77,0
2019-08-22,263283036.46,0
2019-08-23,260211043.49,0
2019-08-24,264767481.27,0
2019-08-25,263127927.83,0
2019-08-26,264998607.13,0
2019-08-27,265441274.04,0
2019-08-28,261131464.97,0
2019-08-29,265585269.01,0
2019-08-30,241709611.86,0
2019-08-31,242611108.20,0
2019-09-01,240151595.19,0
2019-09-02,242634046.70,0
2019-09-03,244596461.78,0
2019-09-04,252798775.72,0
2019-09-05,253527052.92,0
2019-09-06,244956890.40,0
2019-09-07,253180435.62,0
2019-09-08,243878047.21,0
2019-09-09,258090735.98,0
2019-09-10,263840576.43,0
2019-09-11,260842390.24,0
2019-09-12,258386460.86,0
2019-09-13,257656934.65,0
2019-09-14,258057393.98,0
2019-09-15,261561235.84,0
2019-09-16,285460750.22,0
2019-09-17,294041573.85,0
2019-09-18,301485525.32,0
2019-09-19,321203520.52,0
2019-09-20,313821343.54,0
2019-09-21,329883850.28,0
2019-09-22,327796890.98,0
2019-09-23,319217707.46,0
2019-09-24,317849967.29,0
2019-09-25,295983405.15,0
2019-09-26,249647313.39,0
2019-09-27,259172010.95,0
2019-09-28,252430435.98,0
2019-09-29,265273419.56,0
2019-09-30,259152760.04,0
2019-10-01,265888030.42,0
2019-10-02,276995917.21,0
2019-10-03,272758838.65,0
2019-10-04,269556328.56,0
2019-10-05,268161701.73,0
2019-10-06,267149020.35,0
2019-10-07,267452056.07,0
2019-10-08,269671918.80,0
2019-10-09,279112200.73,0
2019-10-10,287981152.11,0
2019-10-11,297553981.14,0
2019-10-12,287773252.31,0
2019-10-13,286269991.58,0
2019-10-14,285156488.32,0
2019-10-15,283938085.54,0
2019-10-16,287211943.03,0
2019-10-17,275267096.02,0
2019-10-18,274866083.55,0
2019-10-19,269419722.91,0
2019-10-20,271220330.82,0
2019-10-21,267970563.59,0
2019-10-22,275796614.97,0
2019-10-23,272040573.83,0
2019-10-24,285911141.01,0
2019-10-25,266833143.79,0
2019-10-26,281364186.20,0
2019-10-27,305649389.69,0
2019-10-28,330407226.13,0
2019-10-29,337225093.15,0
2019-10-30,349338336.96,0
2019-10-31,334565766.40,0
2019-11-01,308796617.22,0
2019-11-02,307951827.83,0
2019-11-03,310136679.31,0
2019-11-04,310071822.22,0
2019-11-05,349456757.41,0
2019-11-06,350406693.50,0
2019-11-07,348181692.29,0
2019-11-08,338777931.15,0
2019-11-09,353452143.69,0
2019-11-10,353001007.33,0
2019-11-11,345017518.81,0
2019-11-12,356303061.34,0
2019-11-13,365155872.85,0.00
2019-11-14,360919825.94,0.00
2019-11-15,355448848.03,0.00
2019-11-16,352766221.51,0.00
2019-11-17,342189804.65,0.00
2019-11-18,351687722.79,905140.05
2019-11-19,350395807.23,5258594.86
2019-11-20,335604726.29,8792795.75
2019-11-21,338167221.92,12495454.32
2019-11-22,338702756.54,14804325.05
2019-11-23,305324942.47,16926776.68
2019-11-24,306518996.87,18273207.81
2019-11-25,309176698.98,19039655.48
2019-11-26,304655001.55,20342817.51
2019-11-27,315470718.13,20421413.52
2019-11-28,314343266.81,21516228.18
2019-11-29,320635077.21,22528661.28
2019-11-30,321797642.67,23498122.85
2019-12-01,322867188.65,24466092.82
2019-12-02,311753397.98,32285317.31
2019-12-03,318087935.81,45988542.01
2019-12-04,313835499.66,49567908.21
2019-12-05,312524674.10,50489728.60
2019-12-06,315907186.05,52112509.45
2019-12-07,314978161.08,53932354.96
2019-12-08,322867237.12,55763263.10
2019-12-09,323112233.29,57390999.33
2019-12-10,327317025.82,58619137.21
2019-12-11,319727867.52,60066363.47
2019-12-12,316868676.76,61090002.91
2019-12-13,315277507.49,61694735.11
2019-12-14,315155863.03,62723592.37
2019-12-15,312569437.03,62978035.58
2019-12-16,320130091.84,64293141.73
2019-12-17,319178767.45,65971358.90
2019-12-18,304157659.27,65951390.04
2019-12-19,280609764.46,67577784.22
2019-12-20,298737882.35,68757420.70
2019-12-21,300678704.51,69392215.25
2019-12-22,300868120.25,69778951.54
2019-12-23,305633691.44,69946795.61
2019-12-24,312459994.51,69649986.70
2019-12-25,300647361.72,69771720.82
2019-12-26,292827367.63,69778524.76
2019-12-27,292230785.86,70204216.74
2019-12-28,287970670.56,70945965.53
2019-12-29,299252237.10,71353128.67
2019-12-30,304837436.81,71663819.96
2019-12-31,314326635.44,71863762.87
2020-01-01,312539371.58,72490166.15
2020-01-02,312599055.47,73337075.68
2020-01-03,309699272.67,73841184.94
2020-01-04,318059064.39,74310846.77
2020-01-05,320249784.69,74652020.14
2020-01-06,326278232.12,76832936.68
2020-01-07,342140640.16,79944069.15
2020-01-08,347974558.32,82396843.17
2020-01-09,369404635.80,82544057.70
2020-01-10,337898260.36,82847246.59
2020-01-11,339120288.08,83167238.20
2020-01-12,369961913.93,83924136.23
2020-01-13,353190860.64,85048385.07
2020-01-14,352247379.55,86952277.20
2020-01-15,373971491.16,87694276.30
2020-01-16,412282805.12,88743531.71
2020-01-17,406336352.89,90713217.72
2020-01-18,427611785.67,95899925.63
2020-01-19,419404519.83,96626562.40
2020-01-20,415864244.74,96996109.84
2020-01-21,405275932.80,98160750.62
2020-01-22,428256600.85,99874358.94
2020-01-23,420815196.30,100767527.33
2020-01-24,411310305.44,101046680.29
2020-01-25,410787246.45,101675164.18
2020-01-26,412297546.91,102170227.33
2020-01-27,410806499.75,102936572.32
2020-01-28,427910766.61,104253102.69
2020-01-29,439942255.91,105609722.32
2020-01-30,453390276.64,106777195.45
2020-01-31,453879841.35,107711932.97
2020-02-01,461105759.10,107888430.09
2020-02-02,463879921.16,108023963.11
2020-02-03,478696345.61,107564597.89
2020-02-04,472550737.01,109132962.95
2020-02-05,466271889.84,110959548.74
2020-02-06,491700648.30,111645760.26
2020-02-07,521704552.47,112634731.34
2020-02-08,541192400.76,113425939.23
2020-02-09,555325758.16,114730318.14
2020-02-10,559119381.65,115298001.59
2020-02-11,533948967.67,116216454.68
2020-02-12,546262953.42,118301927.67
2020-02-13,620800831.57,120267442.20
2020-02-14,634520365.13,122482436.44
2020-02-15,658761647.55,124428922.42
2020-02-16,673819595.93,126464509.77
2020-02-17,639658790.47,126301604.56
2020-02-18,589350657.09,125421669.46
2020-02-19,619797486.63,121101819.52
2020-02-20,584667917.75,120385640.74
2020-02-21,515291084.13,120475471.28
2020-02-22,530818003.42,120356026.48
2020-02-23,533431572.12,121038177.82
2020-02-24,553144368.17,121550725.76
2020-02-25,559673214.43,122347128.54
2020-02-26,545385671.02,122714124.38
2020-02-27,494810808.07,122316555.37
2020-02-28,486923408.05,120143616.17
2020-02-29,461749793.81,119585324.92
2020-03-01,478554511.71,119088517.70
2020-03-02,469982716.83,117069532.45
2020-03-03,465955365.98,117641142.75
2020-03-04,480748807.74,117674190.41
2020-03-05,465449641.78,117715888.57
2020-03-06,486497890.10,120125461.15
2020-03-07,506663847.73,121651387.09
2020-03-08,522161132.93,121842027.73
2020-03-09,495174816.52,120166094.46
2020-03-10,460646284.95,118783035.30
2020-03-11,454474731.59,117741402.07
2020-03-12,441374880.99,106744643.16
2020-03-13,331500983.78,88110035.78
2020-03-14,299372072.07,80618312.93
2020-03-15,289237668.36,78326143.26
2020-03-16,283871789.50,75222877.89
2020-03-17,245803587.69,71714723.75
2020-03-18,257821912.55,72220479.88
2020-03-19,252045666.01,76012475.47
2020-03-20,276571287.32,78579227.85
2020-03-21,316774070.59,79825756.11
2020-03-22,292313588.80,79951754.61
2020-03-23,283041788.42,79422023.26
2020-03-24,277368017.88,80245389.54
2020-03-25,306622301.91,79718138.91
2020-03-26,297475436.17,79799777.01
2020-03-27,301696558.98,80714237.14
2020-03-28,302503959.85,81267622.18
2020-03-29,290508621.99,81799185.81
2020-03-30,293803131.64,81489599.35
2020-03-31,303983274.63,82458227.96
2020-04-01,302693350.65,83004001.69
2020-04-02,302033802.89,83997311.49
2020-04-03,315976203.84,86157587.89
2020-04-04,330746854.36,86361972.20
2020-04-05,322582396.63,86738526.72
2020-04-06,326809527.41,86616662.05
2020-04-07,337673732.50,85409262.48
2020-04-08,361112964.04,79665053.24
2020-04-09,343956443.18,79820097.43
2020-04-10,349274704.46,80262535.75
2020-04-11,329594569.61,80243999.41
2020-04-12,329837903.00,80221129.41
2020-04-13,328808647.71,80262241.55
2020-04-14,321470344.01,80402434.37
2020-04-15,326372138.34,80848579.47
2020-04-16,327259209.94,81190880.37
2020-04-17,352201526.18,81638416.97
2020-04-18,354206698.25,82593107.09
2020-04-19,362827968.83,85188725.29
2020-04-20,393959607.35,87928980.97
2020-04-21,387672973.00,88602687.53
2020-04-22,370972559.60,89558566.25
2020-04-23,382434984.51,92203388.43
2020-04-24,393337609.46,94137916.08
2020-04-25,409664339.17,95555797.63
2020-04-26,424628494.62,97511082.01
2020-04-27,430198281.29,96882529.06
2020-04-28,423680138.95,97148730.48
2020-04-29,423800300.44,98660223.03
2020-04-30,453511911.22,100650869.67
2020-05-01,448784625.46,98921514.98
2020-05-02,450502659.11,100483919.07
2020-05-03,457084778.15,109198554.97
2020-05-04,464193999.68,110785482.73
2020-05-05,439758990.27,111843196.75
2020-05-06,449406311.20,111401531.70
2020-05-07,466004980.59,111345955.95
2020-05-08,451466551.30,111743984.78
2020-05-09,464786012.59,111798287.90
2020-05-10,464739714.45,110245971.30
2020-05-11,426320483.21,108940825.07
2020-05-12,412280908.25,108597056.05
2020-05-13,405354818.90,108254683.14
