id,pool,user,repayer,reserve,amount,timestamp
15251415:183:0x3456ece348dac71b183f0d55ed774c1982471eb7a7657d5877d6f15ddb451243:259:259,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe8d58745dda5aa7ab493d6ade748619a890f85e8,0xe8d58745dda5aa7ab493d6ade748619a890f85e8,TUSD,9981750000000000000000,1659286247
15251282:3:0x441d68fc5072569cabd6e18bf3210d47769187fdc3118930489cccec92e42c49:81:81,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xacd4ec996aad815efe72a11944188c6db6c30176,0xacd4ec996aad815efe72a11944188c6db6c30176,USDT,1937606341539,1659284341
15251258:257:0xb5646b9a9422cbb5c5ad9fda66d5cd8c54a18b17f387c9d0e695c9290e20f7f6:298:298,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xfde8305fa23189725579bb6ec1ca1d447c3d1155,0xfde8305fa23189725579bb6ec1ca1d447c3d1155,USDC,5009228736,1659284017
15251153:182:0xbaeaf32c2db0fefca9550a1b1e67df38c42e13cffde6b9b53c6c53f856cdced1:394:394,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7a16ff8270133f063aab6c9977183d9e72835428,0x7a16ff8270133f063aab6c9977183d9e72835428,USDC,313188260000,1659282597
15251111:241:0x4064f4897ba7ee4a4739dab036b51ce0dc8104a5adbe59bca5d799fc09e30af4:522:522,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xfde8305fa23189725579bb6ec1ca1d447c3d1155,0xfde8305fa23189725579bb6ec1ca1d447c3d1155,USDC,9000000000,1659282063
15251007:245:0x9c4eec1585e8b25c5681eec36a32fa96695d5ee9121f2e6fcf97d92ed584fab3:471:471,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa519baab05301283f649c1506cd24654618ed51b,0xa519baab05301283f649c1506cd24654618ed51b,USDC,8828256071,1659280789
15250958:323:0x2996043195116ce534c7391c2afaad3791c5097516420a7ee6489d97008c6dbf:621:621,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x9b43818e253baed56e14a96d677347a06c77c6c1,0x9b43818e253baed56e14a96d677347a06c77c6c1,USDC,1000002,1659280231
15250763:39:0xe41c8ec3448ff9ccfa5dc68be6580a24dd920726b741f8e5220e44e48a8e967f:94:94,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x388e72eaf4689a7a698360b8e86bf71326107d7d,0x388e72eaf4689a7a698360b8e86bf71326107d7d,USDT,645244140000,1659277553
15250752:115:0xe302af36cf2f8953588ecf0e78dfdee601dd85b3674640fd01224a71d1d0d968:249:249,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x02381f433de35fb09b519575f019c753388f1cbe,0x02381f433de35fb09b519575f019c753388f1cbe,AMPL,32204418737,1659277405
15250702:222:0x59d52d183fb7d1befdffc52d6dd7bb56235fcecacf0e873b7ff684c380ea6f80:320:320,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa4777c8c6b1173e72b760b58d080e80183c97e6f,0xa4777c8c6b1173e72b760b58d080e80183c97e6f,USDC,4400048,1659276804
