id,reserve,target,amount,totalFee,initiator,timestamp
15247387:412:0x13fbc429c72afd7612ceb0a2cb1789e82159beb7cf46cb5fadd150b86ce1b3dc:466:466,WETH,0x59daa74f2d15c87aac435ec18cb559f92490c100,9240000000000000000,8316000000000000,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659232036
15247366:40:0xc74f964ede37de7aecadd6f836900f51a871513807f02a8d21660dcb5628802f:103:103,WETH,0x135896de8421be2ec868e0b811006171d9df802a,50366276033608010000,45329648430247209,0x09a5e1358611ef5cf4fa258cd5fbabd05132a87f,1659231781
15247128:27:0x9a1a9e3e736e83c1dc81cfc9c703bfb6ec0978beb5278cc517569599ff304f33:249:249,WETH,0x66ed0164c2e516958dbb84863c55e4ab83ee0cd1,486407202707100692,437766482436390,0x66ed0164c2e516958dbb84863c55e4ab83ee0cd1,1659228690
15247128:27:0x9a1a9e3e736e83c1dc81cfc9c703bfb6ec0978beb5278cc517569599ff304f33:242:242,STETH,0xb7cc88a13586d862b97a677990de14a122b74598,1306836509959982897,1176152858963984,0xb7cc88a13586d862b97a677990de14a122b74598,1659228690
15247046:245:0x7ce46dff24bd33bdcee767555e77302c1a49982f0d7d242e8413d424920c9319:576:576,UNI,0x59daa74f2d15c87aac435ec18cb559f92490c100,50000000000000000000,45000000000000000,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659227788
15246779:192:0x86160738249ebf6c81eb6bd5f7a373919f986c94523e07eb61d06744ef1981f1:311:311,WETH,0x135896de8421be2ec868e0b811006171d9df802a,18163581097291120000,16347222987562008,0x7c73da56fc8d04544621e1a7adf1479638f656df,1659223859
15246422:49:0xa4722eec65f1cd9278da691fcba670877d1eabfbd9c6c67141645841394b46cf:165:165,WETH,0x135896de8421be2ec868e0b811006171d9df802a,60000000000000000000,54000000000000000,0x59e17730f2a0373a45048161dfa04d4265992567,1659219232
15246419:23:0x5d55bd9ebb6941cfcff78d01cbba0a86a5ead20d30197bb24841bd5fe62331b2:82:82,WETH,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,40887320258878210000,36798588232990389,0x8e918ac0f1d8b5c298a3914feaaf4c733671b0b2,1659219193
15246176:6:0x85b0356c4461de440fcbcfe0b66a1a5fe7a4cec380e2827e3edce171b9ff712c:54:54,USDC,0x689209519e78947d52b862748e059fad1238d689,534339420,480905,0x689209519e78947d52b862748e059fad1238d689,1659215899
15245750:37:0xc9afc6ebdb16a042946b64ebf5616ae93385a910199e2d1927dc1196be333d2f:121:121,DAI,0x498c5431eb517101582988fbb36431ddaac8f4b1,505333200413139400000,454799880371825460,0xfdb892c934b5477f86c0f95952f2a03af5ad8edf,1659210113
15245565:197:0xcee6263d694f77cb1e49882d7b323a633a2a431252507d54554f38b0c14c203a:347:347,USDC,0x135896de8421be2ec868e0b811006171d9df802a,60000000000,54000000,0x458c2a48b1eadd25211573b627a5216c799c80c1,1659207719
15245231:279:0x864ad241e7dd513fda34dd39eb1e34aea48ed7e0a57ae30203ce226abfcd1624:540:540,USDC,0x135896de8421be2ec868e0b811006171d9df802a,10000000000,9000000,0x73239a06de2fc0a00bf06bfda9f11c432e94f6e1,1659203415
15245219:100:0x69caf7fc8603acfa163b1323497756357f90ccc52e510cb5335ddd481d10a3ad:161:161,WETH,0x59daa74f2d15c87aac435ec18cb559f92490c100,825000000000000000,742500000000000,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659203299
15244947:10:0x59c5448bed0ca6f2cb0cc81c49d26a872ca9cb74e4622d515c004aca51eb4188:83:83,USDC,0x135896de8421be2ec868e0b811006171d9df802a,173848000000,156463200,0xfbe87d602f7d7dd511349be4acf58842392124a0,1659199396
15244927:3:0x2ee9496a1f2e5b93e8a2427481a600f741585f96117253e7d4c9466614d3d663:35:35,USDC,0x689209519e78947d52b862748e059fad1238d689,750000000,675000,0x689209519e78947d52b862748e059fad1238d689,1659199106
15244736:174:0x6e7d58899b5d6ef579103576b9511e2970cb89789c877d6e0cd8cafe369cc398:340:340,WETH,0x135896de8421be2ec868e0b811006171d9df802a,100000000000000000000,90000000000000000,0xfbe87d602f7d7dd511349be4acf58842392124a0,1659196669
15244661:189:0xb3e857f154d0d6828d6ef85e4d9494b01405d8457492f9d7a2fdc6d63b5bcffb:356:356,USDC,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,170681110,153612,0x9ef8e410f26ed478735c77b17c87874256b0c699,1659195712
15244169:325:0x4c57c54f2d38a41a76093d5c90a9b3e9cda5eb374f069f5ae885f2df8aaebeae:669:669,BUSD,0x59daa74f2d15c87aac435ec18cb559f92490c100,77000000000000000000,69300000000000000,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659189081
15244149:12:0xb4674da58b82bc51a0f0340d7e21191f6444bf2491738837d385cd0291a59fe1:59:59,WETH,0x135896de8421be2ec868e0b811006171d9df802a,407985236220022800000,367186712598020520,0xccb03c59b60791d9535facba45045278bd58975a,1659188870
15243963:106:0xbab3a9882640407cefbe621e7658c520ee16c1558f18fefd533f6405ea5151c2:256:256,USDC,0x135896de8421be2ec868e0b811006171d9df802a,500000000000,450000000,0xe14cedba68be35861dde3a599fba6a341b1a15af,1659186447
15243929:81:0x98c7f763ca1c2be88268258ae321ec7d78a81d490373896dfe38b2e3e3d585c1:203:203,USDC,0x135896de8421be2ec868e0b811006171d9df802a,702567372952,632310635,0xccb03c59b60791d9535facba45045278bd58975a,1659185906
15243927:103:0x158383ce29bfd79c763d7c63e0e6b82d816bfaac0320e2c2e4502f939e9328ed:341:341,USDC,0x135896de8421be2ec868e0b811006171d9df802a,123961571363,111565414,0x1908bb246da7d358e4f79cea8b3d2ce5e81e6d64,1659185896
15243633:214:0xa8405a7f9ccd89fa067ff6b9106e6134cdf918a374f3f691df2390bbcc91474f:485:485,BAL,0x5cb6b2844451cc4a46784a8dce0ab12844c00972,23575240976190837472,21217716878571753,0x5cb6b2844451cc4a46784a8dce0ab12844c00972,1659182221
15243610:173:0x1b63fd0313971901a6f60b44536a9b2ceb98cfa5f8395161c395d3e26922cab5:332:332,WETH,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,121271045945383100,109143941350844,0x5e4b61220039823aef8a54efbe47773194494f77,1659181940
15243526:5:0xb566cc49ca9e72eb08ad832a6376d68971a57113d77a987a3fc1369b8889b890:81:81,ENS,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,384446525483019850000,346001872934717865,0x08b3931b2ae83113c711c92e1bb87989f1fab004,1659180739
15243032:126:0x67dd6366b0ade4e139ee7e92845e9bb995ed1fe34724dc2b8920d69b1b96e886:278:278,USDC,0x135896de8421be2ec868e0b811006171d9df802a,50000000000,45000000,0x8db63f56502b8596bc2e56939c1710034e5883e6,1659174071
15242925:105:0x2cd536ac22fcc4afa519447222ba85a8c29273d9f65a2fee7b1aee7336dabed9:333:333,USDC,0x135896de8421be2ec868e0b811006171d9df802a,5813660606,5232294,0x8f3a84ff458698de843064ff2c318975abccc303,1659172654
15242726:148:0x388e7f0bb3497606685dd950643941649aabcfd54e65453e8e2939f56ed47295:298:298,AMPL,0x5cb6b2844451cc4a46784a8dce0ab12844c00972,134439117329,120995205,0x5cb6b2844451cc4a46784a8dce0ab12844c00972,1659169931
15242479:354:0x514cb5557cf43ab58877ae1838d853851878965ad0a5ea6befe83dfc78552627:396:396,DAI,0x59daa74f2d15c87aac435ec18cb559f92490c100,5000000000000000000000,4500000000000000000,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659166638
15242452:95:0xbc6bf88039657bc62d4bbf74e9f57fa3cf3d02bbbb05b3b658a7f92edd4bed09:228:228,DAI,0x59daa74f2d15c87aac435ec18cb559f92490c100,10000000000000000000000,9000000000000000000,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659166254
15242433:1:0x14cbd606566ce2cfe48ff7f93f905c68e8d5ede0b1ac85059b34d01e334d0a88:25:25,FRAX,0x6cd4a18c9938b29550104736edc067280ffea53c,57434013526845239100000,51690612174160715190,0xe9673491148d1e8edbb943f5826963e588999653,1659166005
15242221:335:0x8e9cf5ef54f7509c6e5283ae9907335ac4ef944f47d3abfd83a44b63b13dcfb2:671:671,USDC,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,7013874300,6312486,0x7ce1b74fbcfe8454cfb79fa0c00bad3d29455d98,1659162894
