date,totalBorrow,totalValueLocked,utilizationRate,liquidity
13/01/2022,11169832.54274168534114452632644412,41346888.60275371156655460363728556,0.2701492886213879,30177056.060012028
14/01/2022,11133119.47323632997742906579643835,42817446.1770169303089894111945832,0.26001362685690116,31684326.7037806
15/01/2022,13177778.87128891214348242473725288,46014932.265860095080511727618169,0.28638049047104464,32837153.394571185
16/01/2022,13925827.82333408581084712807974548,47288777.63044720554903750737957509,0.2944848338470869,33362949.807113122
17/01/2022,14129994.04749430857794319263332578,47749728.61104042157554603176641489,0.29591778756680204,33619734.56354611
18/01/2022,13975166.73791973679943211624519257,46950961.8882982444880128041658485,0.29765453519713336,32975795.150378507
19/01/2022,14178552.82606068021515136362909291,45775891.09520826740179784887210137,0.3097384340715732,31597338.269147582
20/01/2022,14235491.18667502022895281991834114,44240875.47946218495504080325196348,0.3217723662200926,30005384.292787164
21/01/2022,14246106.81761785666746206193200209,44542502.76108499526932151718623022,0.3198317547181949,30296395.94346714
22/01/2022,13580732.51023996353731981605138395,40828505.47548438509425378008356137,0.3326286953705558,27247772.96524442
23/01/2022,12723973.10224483541743961237668263,38724828.51746660211009671199651829,0.32857403349134945,26000855.41522177
24/01/2022,12998205.43724420039898515943245456,40088018.08911509333604717493570682,0.32424165765315155,27089812.65187089
25/01/2022,11423632.42667444387921705576969664,38825882.20733416171823090107266595,0.2942272468059086,27402249.780659717
26/01/2022,13122928.53712404028534001328857714,41081983.80343479121685921733163375,0.3194326885457478,27959055.26631075
26/01/2022,13051895.16052758059475711598544875,41300896.0460630430537536898262981,0.3160196608318317,28249000.885535464
28/01/2022,12941727.92542503117170708629764892,41453747.49344997005194984107081401,0.3121968147142771,28512019.56802494
29/01/2022,14850780.8917718573588119512343067,44163207.81146626538967276993982483,0.33627043024524345,29312426.919694405
30/01/2022,12924859.68417030650887001690332811,43727818.46237159198268608277041832,0.29557522279078086,30802958.77820129
31/01/2022,13662287.0602190223979189711279495,47389448.83487024669022228266366986,0.28829807892101916,33727161.77465123
01/02/2022,15367146.65069182767302612008231783,49884629.41550755060810090564478214,0.30805373981418555,34517482.76481572
02/02/2022,16066534.60279399470306221146861128,51910324.17994839432442343631644866,0.3095055724772391,35843789.5771544
03/02/2022,16534918.55276520829252404367485293,52379342.87777585506223222616338465,0.3156763266646639,35844424.32501065
04/02/2022,17802962.52045035142522267349442557,54036096.71346806464453059798690628,0.329464258213401,36233134.19301772
05/02/2022,24112915.51993360587212948217273202,64020322.03447352676198910603324805,0.37664470833104113,39907406.51453991
06/02/2022,27708436.37858096866669837029633787,69457230.56887773052018952358655942,0.3989280331455731,41748794.190296754
07/02/2022,27734090.91234659289828026281091112,69486952.2400256705632074584676705,0.3991265988547888,41752861.327679075
08/02/2022,28050295.85319012419983121831309996,70684085.64560510790242207992099735,0.39684032971478633,42633789.79241498
09/02/2022,29691213.50353126316386002435595711,73497526.55504750088134998581210358,0.40397568319926264,43806313.051516235
10/02/2022,30920637.986033113489389542368063,77877512.70654491367844688860605956,0.39704193048058795,46956874.72051181
11/02/2022,31283254.63595702696802052891834727,77879768.50821214207525061117781331,0.4016865385605033,46596513.87225512
12/02/2022,30980539.86192571909512102459320372,82163377.10692493201726917217803667,0.3770602055659005,51182837.244999215
13/02/2022,30250392.59470126958622261655378521,81977100.14400116825288825934617512,0.3690102789872215,51726707.5492999
14/02/2022,30518995.5443706950992026136621884,82254565.7655082394833718636462439,0.37103102132195814,51735570.22113754
15/02/2022,29004969.79770217888329213561193556,84566775.65915731746666527011234687,0.34298303998966967,55561805.86145514
16/02/2022,29023500.85179331593713640230735965,85291730.545164559037104203819375,0.3402850506875868,56268229.69337124
17/02/2022,33065393.41894363777999647037744331,90796232.37910540596364092821218364,0.3641714259781648,57730838.96016177
18/02/2022,36093587.05976353975408250986820676,102363103.0256615019241391889995685,0.3526034869294184,66269515.965897955
19/02/2022,39370168.24997308246021789856341771,105826038.0304090079901579413215892,0.3720272343434052,66455869.78043593
20/02/2022,40257203.82699165750377354425593615,106721087.9796617260906080105593029,0.37721882890346503,66463884.15267008
21/02/2022,40445698.6860209939092346683131204,106476669.9345707015172932855535324,0.37985503031673173,66030971.24854971
22/02/2022,42838770.66617344273878428157618814,98091555.7464861621523889052389595,0.4367223084613786,55252785.080312714
23/02/2022,42290914.02278173170223805104269981,106579060.2681752302120604450088479,0.39680321740845653,64288146.2453935
24/02/2022,41646367.05365890137754699694991094,104967019.7315584499919340232348446,0.39675668757829724,63320652.677899554
25/02/2022,36988446.46364609606672050814741458,90718951.4053099438130809302690183,0.4077256834505375,53730504.94166385
26/02/2022,34959903.50677164650911462498831967,86103246.20831385733423862680288587,0.406023060062003,51143342.701542206
27/02/2022,35077913.79345563588368665495474828,84150043.3825365425941226394510271,0.41684962221582494,49072129.58908091
28/02/2022,33765318.00708595440818732520804821,89927169.65963712323762855768314886,0.3754740434385223,56161851.65255117
01/03/2022,33296320.96934721499866683850014786,82665741.3070721388875029547787498,0.40278258493641167,49369420.33772492
02/03/2022,32738791.33453800994013846605875463,81850375.11402824709795390699500051,0.39998340006296373,49111583.77949023
03/03/2022,35773410.00763177945393663278899262,86950374.6655495849440235948163788,0.4114232991546324,51176964.65791781
04/03/2022,35588299.36746241335381690590316434,87977421.74118034901487943756333571,0.4045162800082864,52389122.373717934
05/03/2022,35008243.27816779497791073579100594,84538128.40285937780856091769219806,0.4141118799240378,49529885.12469158
06/03/2022,35820570.99477224112286677497019926,85661162.4941028241375634013929376,0.41816582861852053,49840591.49933058
07/03/2022,36963594.31089820248180214525300141,87366285.50139638499837884803269317,0.42308762583602577,50402691.19049819
08/03/2022,31623275.79540371250329143273060031,81530450.9404298237061780680519071,0.38787073333507305,49907175.14502611
09/03/2022,32448439.22075183986356094908669583,83099110.58700365239835265345438745,0.39047877879244886,50650671.36625181
10/03/2022,32925796.07778194067230440990535336,84264037.7011661334968612090918991,0.3907455300747626,51338241.62338419
11/03/2022,32412589.37532101125497278688431094,83311202.20051762854901073699428517,0.38905439507773215,50898612.82519661
12/03/2022,32333613.95641087113772976220895599,82370186.13056333859012323844083937,0.3925402560722578,50036572.17415246
13/03/2022,32614871.00615002631661266673395745,82605326.77315061330746177034110737,0.3948276979245715,49990455.767000586
14/03/2022,35355175.16986660967151123317093509,85500109.4545038240278141784602122,0.4135102913368754,50144934.28463721
15/03/2022,35492858.74676159124895324487435832,86043307.20111117190901144816044792,0.41249993638439825,50550448.45434958
16/03/2022,37417643.57692465801089054258367271,89293383.76476228265207807632416098,0.41904161315578603,51875740.18783762
17/03/2022,40952040.51019827056916220548894984,94084347.32505193754573939280433322,0.4352694329558678,53132306.81485366
18/03/2022,40165873.33177506422972128912488718,93407299.2066984725579634040659449,0.4300078652621471,53241425.874923415
19/03/2022,40539587.79996798742029177766598732,93890776.81077351670206275262986471,0.43177390982365654,53351189.01080553
20/03/2022,40667298.79832805548206066336050394,95793090.38179617776607202566650753,0.42453269475118816,55125791.583468124
21/03/2022,43182266.88933746942317692868776232,98564897.30211842364853056358920905,0.43810999728408756,55382630.41278095
22/03/2022,49792414.83867718364944751096755896,109654010.0404058082544139145785657,0.4540865839774528,59861595.20172863
23/03/2022,69256528.24172914741310354242680155,144192144.2682600271058129837230981,0.4803072219585133,74935616.02653089
24/03/2022,84795572.38547617755121841218227499,161917300.5104365279265132572493774,0.5236968015039912,77121728.12496036
25/03/2022,91053711.55276515459799727774121427,172081231.4412485939672641346528517,0.5291321475918913,81027519.88848343
26/03/2022,96743770.96474077747720597841392222,177060348.8031363901743606777644365,0.5463886839639339,80316577.8383956
27/03/2022,98627095.24402463131026782654476383,177713763.9041176509467799014064625,0.5549772458662074,79086668.66009301
28/03/2022,104041993.6830239094216268128869174,185792988.3763683762776245025202173,0.5599888057791602,81750994.69334446
29/03/2022,132805755.6183709159677499705829412,218425110.0165457088695321067776662,0.6080150565487222,85619354.39817479
30/03/2022,191843244.7029466360025069826326504,279745899.101761724459703324352836,0.6857767900045635,87902654.39881507
31/03/2022,219993385.6542434573532832861913548,312271070.3680506437316156296541606,0.7044949293412088,92277684.71380717
01/04/2022,211403171.6499463448624266894855625,303814512.9790498608038085116166994,0.6958297336655674,92411341.32910353
02/04/2022,253103073.2904527217894472203559644,355971772.0356323201351536116028635,0.711020067245999,102868698.7451796
03/04/2022,257114225.715653325257730716205244,359223897.4497986828768412212042288,0.7157492236484208,102109671.73414537
04/04/2022,307576725.8468269498328573116150281,412383479.6664588326752529753006755,0.7458512307418306,104806753.81963187
05/04/2022,313923216.8402898714065456164327774,425401632.6647332229109097913299432,0.7379454913556913,111478415.82444334
06/04/2022,294182186.1257646531180749513489157,398028654.6254676171346990005249756,0.7390980089174254,103846468.49970293
