id,pool,user,reserve,borrowRateModeFrom,borrowRateModeTo,stableBorrowRate,variableBorrowRate,timestamp
12192714:162:0x05e1d7d251ad7d5a08ba8975044e50cbc3766e74ebc41209c2ef2a687920d5b5:305:305,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x233c09204a9bd98d2a80c3bf91a0fb37e9a96b16,USDT,Stable,Variable,119981140273263887322473414,39962280546527774644946829,1617799160
12193480:106:0x7a622e6a2331aeb93b5cf47b6b5f6559325609b2ff4a44178b7736da7478ee06:139:139,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd67cce92218517b4963ee843b3a454d382691f6e,USDC,Stable,Variable,126212491923800203166030744,56212491923800203166030744,1617809398
12193490:85:0x9c31ee81fbbd119b81fb5a3ce68e677cf289abf145276e33b9ef9758eba2478e:184:184,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd67cce92218517b4963ee843b3a454d382691f6e,USDC,Variable,Stable,126154812846033416560245986,56154812846033416560245986,1617809521
12193647:83:0xc3b11c63e3f7cdb0c8c49b6d6998ff83ed851c88159247ee1b52dd4cf049bce3:122:122,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2db3865a9c07a651f5309525dd9f991cca9984f7,USDC,Variable,Stable,124324961850124094654849396,54324961850124094654849396,1617811494
12194528:74:0x78666676982bfda9782c5473f93a7ca83824ebf7d7718a7dde0f0ac49e3e1a48:176:176,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xdd64cf2aa3207a9b0ada9b2e8ed497d8d5c6078c,USDC,Variable,Stable,130455081716125347793967000,60455081716125347793967000,1617822922
12194836:169:0x7d4cb298b78ef057bbbcf39af32ace48ef41efd785af35e940b41ab5867003a8:225:225,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3793d69d6636f5c240b4c9734b7132fbb3a13646,DAI,Variable,Stable,144101402777013244196405955,64101402777013244196405955,1617827162
12194880:110:0x91f5761e803a1fb6e80bb98ff0965a91f707dd11f5b3e0bc78ca6a339dbead8d:279:279,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x48790bc2fc83b89855c5cc2d27e579c2b9ecc6ca,DAI,Variable,Stable,152027145172775250808949059,72027145172775250808949059,1617827846
12195023:107:0x2cfba28246d20f032de2634064bf4dc61c27addaf354b8a9111a8cda8749cf9c:164:164,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8c19c4605dfacefafe9b7c8e3d11ee8ef48ffc1d,USDT,Variable,Stable,118375176461378538591787531,36750352922757077183575062,1617829458
12195153:25:0x8b7368d12545a2071e1531ff2b3566f904cccad36e4e812946b3cd368f4754b5:30:30,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x817f52906e5f5556cded1ab7ca56bed3df185c7e,USDC,Variable,Stable,130081358006590772506656068,60081358006590772506656068,1617831193
12195162:107:0xf0455af73914bc9a23239bb0c01972e322236132806c1870bf7867d7b5c08d54:229:229,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x875f17446d19438d75b76059c70bf2bd17226030,USDT,Stable,Variable,118412873169576222399755208,36825746339152444799510416,1617831247
12195762:60:0x23aa8c9af4c020c9dc0a5a3eda5db2f4401a4bfb7782427b9cf1361f6d30589b:207:207,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5f813f7135a73b4360527f6428d5d8dbcd48a39e,USDT,Stable,Variable,118633881392256110387675786,37267762784512220775351571,1617839130
12195775:27:0x95036241fcf26270e68b7f9ef0126b767a38145309ed3388c7a255a83326cae2:76:76,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5f813f7135a73b4360527f6428d5d8dbcd48a39e,USDT,Variable,Stable,118633972500503648603536265,37267945001007297207072531,1617839284
12196168:136:0x4863b8076d81be0a357b3e8c42c3a4ab87024f47516ce92b58b3e45639f6a792:228:228,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x31adfbf4f653bcdc3a12c889fa721ee76605ffa8,USDT,Variable,Stable,118652375766039162714590174,37304751532078325429180348,1617844559
12196447:279:0x5f752cb5f424c2bc6e94d473909c8e74bfd26598ffabf93514027ac8eabd8a95:306:306,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x9444e0ecbf35ac2291ae66b93a9c0eabdb0f5ae8,DAI,Stable,Variable,160802571510101767629795495,80802571510101767629795495,1617848476
12196784:95:0x7604aaf29c5c241574ef1c8db2e77b267bd23f7d47ff79c49ea397efdcaabfa5:85:85,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe15dd1510e39e9980c0dc47e404eb7298872bc64,USDT,Stable,Variable,118667992121942700681284893,37335984243885401362569787,1617852768
12196952:79:0x726270386d864e5f31639896cb4c05a49a72b3cdfe3ee807ac011f6503be23a5:129:129,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd984d39fe804461bdd83b7d03cee424b14a4f21d,USDT,Variable,Stable,118714020909343760056425590,37428041818687520112851179,1617855211
12199258:157:0xd1e13164cf24d872420e0d7e10883ea38d20d5d40092cfdbb62b3d5759c76de6:314:314,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa4d2ff8a495146aaca5b59cfc98345e31d12fce7,DAI,Variable,Stable,119495351674660819306821772,38990703349321638613643544,1617886473
12200069:99:0x517701ed2e398e377b2580d51eb5201568da98da41de4d91fdecc13e11c29012:220:220,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x875f17446d19438d75b76059c70bf2bd17226030,USDT,Variable,Stable,119240068378061056870707290,38480136756122113741414580,1617896794
12203051:181:0x4fcd17f2f05897f5520057ec4ba6401d06ae9b83e0988034928d353da177e807:169:169,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x54a85cfdb41f0b4f9001b4837e594940d375ed37,DAI,Variable,Stable,119914380758212579003584316,39828761516425158007168631,1617936593
12203186:103:0xf6d02b95a053538265f9cbd9c8ecc1b53d9358f4590aacf2dfd565a541e41214:184:184,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x93efa145864a24dcca8e7c50eaa0992a2a8c686d,USDC,Variable,Stable,129302015503658272609008350,59302015503658272609008350,1617938254
12204564:62:0x3db2143a50ddf5851c327ae3c8fbe15911eea11edcf39bd0b13d281604ef706c:73:73,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe89f71e91dafec474ae97b8baa53029b30a5e9ec,USDC,Stable,Variable,128652397263799485414158858,58652397263799485414158858,1617956858
12204567:180:0x6c609209f3c63573b8d2f9868a6be9f20ef1461b2ba4e0ffc82c878b58fd861f:195:195,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe89f71e91dafec474ae97b8baa53029b30a5e9ec,USDC,Variable,Stable,128652437301237668502074552,58652437301237668502074552,1617956887
12204950:166:0x3102d6d7bd2e4ac50802d6e665bdf8b61e401101ad15b7d06a8866334b0050da:204:204,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc190dcca8c65e47592d80ec4678c24e658de1544,DAI,Stable,Variable,119839696820508022562001402,39679393641016045124002805,1617962022
12204963:299:0x377fda14d51958d4a72c7ec7289ef49726ec41234f43dbecc1852f4a7c41e125:153:153,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc190dcca8c65e47592d80ec4678c24e658de1544,DAI,Variable,Stable,119842634387475680276652838,39685268774951360553305678,1617962176
12205598:52:0xf591d16e7eef6eb003f8ff4327b3961a7e643f79c892074ec4eda5518ee8d178:158:158,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd9fc24ce4a909047eb368aec53d7ce93bb729dd9,DAI,Stable,Variable,119977818235102073224375514,39955636470204146448751028,1617970676
12206433:121:0x50c15b02fefd9ff157da25b102628f0cb5bf7d0f8b54166e846e010265a747d8:139:139,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x1678b549be696b1dfce9f0639d996a82409e1ea1,USDT,Stable,Variable,128738923495483383589796034,48738923495483383589796034,1617981939
12208213:38:0x819427b78c5090497e8a9b6e3961c7ff7b7a2102524f4ccc3dfeea485b40de4c:156:156,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x79f0d60dae276642a0b57c4c664bc831098de7f5,DAI,Variable,Stable,142598710932469708438648133,62598710932469708438648133,1618005558
12208237:13:0x484507c79f8db7c547c8818bd86fcc379d7cbf3b432bcc93e160b0aee875e896:35:35,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x79f0d60dae276642a0b57c4c664bc831098de7f5,DAI,Stable,Variable,142599270571645189194378075,62599270571645189194378075,1618005894
12210218:96:0x497feeb65b4730ce2b66bcde712ab02a21893258d1865e7f8a39b6ec962bb889:145:145,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa4e816ba379ecc4eadd6def1fc1d80bd65f3d642,DAI,Variable,Stable,199557473271277810152853991,119557473271277810152853991,1618032075
12217600:73:0x551626fc851ed3d3d058e0710d1dbe5e2836a9ffa72cd86cbfe347bb1c23d429:84:84,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7d544a853dbcd39a53315e7002f4951a6d2f080d,WBTC,Variable,Stable,36118362348924584010551709,4894689879139667208441368,1618130607
12228566:136:0x4310f61dadb58241be40f11ef6aa393fbe7abc187c876688646737d92218f626:338:338,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2d4f0e6aa79cf6bc718d62a32484cf881d6e9fad,DAI,Variable,Stable,144981273759409484238402443,64981273759409484238402443,1618274573
12228722:98:0xc8be2d6afefefe2c6cfbe782b1acb4389b8509206112cf59de35e1fb3ae02db4:106:106,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7bebf3d7eb8351edea30564d07f17cda22e65467,USDC,Variable,Stable,228657473064948021428151782,158657473064948021428151782,1618276526
12228729:53:0x12e9631f163fab944e2a6b4c0aecc75aaa415caa118e121115bb7b547219f37e:195:195,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf20e5280b124a4f810d88a6660201f4c980c14cd,USDT,Variable,Stable,228943092965345940715805376,148943092965345940715805376,1618276598
12228850:108:0x80c45bb21b89c38a58a244e9e19cfd7e0677a6bc81e9279561e47817dcd90258:248:248,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7b157ba7ae20ad8e677a2ae8bba99189da363ac5,DAI,Variable,Stable,148437445208575463251328408,68437445208575463251328408,1618278108
12229256:133:0x929c7defb6c41678f3bed731186bc7bd09fa1bd0c9dbeb1370b8c457354a2616:186:186,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x6aed19abab347eb07a2c8b264fc5c4c1b002210b,DAI,Stable,Variable,153211125545336333292022346,73211125545336333292022346,1618283490
12235437:122:0xb3e5e1a1353063bea20a81db11dbbad130771e26cee8d9968dee0075bc7502a2:223:223,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7d544a853dbcd39a53315e7002f4951a6d2f080d,WBTC,Stable,Variable,34737722719126417825782805,3790178175301134260626243,1618366068
12238319:78:0xd541badd2ce19632ade153c4524876bdb304f8b985cab3ac9f9b4bb6b344ef33:169:169,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x33854efe6c206c10ffd148224b8e9ff5893185a5,USDC,Stable,Variable,218871061730923919770905956,148871061730923919770905956,1618404935
12240484:88:0x2254073789a4bd3690a8e28b112808fd4dc0e26b5ba7908b984856d006c14d0c:210:210,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8276b325d30e4a3a250fecb771c406b2c68a68f7,WETH,Stable,Variable,46665841527362560904952515,13332673221890048723962012,1618433953
12244754:8:0x4c252d4f030adaec24c5f856c695331014b1f50b8d820705f73d5d974e91ab81:23:23,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x48790bc2fc83b89855c5cc2d27e579c2b9ecc6ca,USDT,Variable,Stable,408144386743073746825616424,328144386743073746825616424,1618491151
12244760:135:0x6ecedd09e4a365e424879f171a934b4612695b06744c82f061933c7ba0aa3800:318:318,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x48790bc2fc83b89855c5cc2d27e579c2b9ecc6ca,USDT,Stable,Variable,408144559553579270726620434,328144559553579270726620434,1618491245
12245212:91:0x6992f763bb6545ff5d548f374d4f8464bcfc609132fccef2add7c9cc684332b3:231:231,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xcb09589fb33e656481a3de2c8259ca18ce303b95,USDC,Stable,Variable,255098489249876257278259922,185098489249876257278259922,1618497187
12253872:321:0x956908132ea2c93c1c24774c0a2fabf86959be6a32673ad68f17b3bb437d4452:220:220,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc22060a0e86cc0ee5c24407303aec752e2791c3a,DAI,Stable,Variable,118911224837039510560964291,37822449674079021121928581,1618612519
12253880:72:0x6d9cde42f3a0af86a13d958e597a339b6e452d2acc97bd28c506f9968d586054:66:66,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc22060a0e86cc0ee5c24407303aec752e2791c3a,DAI,Variable,Stable,118911226475003725131872029,37822452950007450263744059,1618612664
12253894:26:0x02f43957f116c52eab6c747fddbe79436cfe069ac898adf46f0fa606cff5581a:39:39,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc22060a0e86cc0ee5c24407303aec752e2791c3a,USDC,Stable,Variable,109687227389690083361632923,39374454779380166723265846,1618612838
12253895:229:0xeb322a3dbe207a53a8b770a17d9fa739ab3ba39aeefe1f9a3925379b68bca7a2:162:162,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc22060a0e86cc0ee5c24407303aec752e2791c3a,USDC,Variable,Stable,109687227416670009873809116,39374454833340019747618232,1618612843
12253923:176:0x554abb21a0ff9cc804fb7422b9a83c820a9d1ed9b09f51a1c08cc1293499dea4:199:199,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbe3c7637815db18f5d471a3a0d4f937ae83dad0e,USDC,Variable,Stable,109689733680761109158469348,39379467361522218316938696,1618613201
12254044:199:0xd370139c9ccfb80b97d650a73ab49f79e7301984cd5a4600356667e81a9e9079:326:326,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x20d3731362f3fa892c0d5a0585385b2e0b304a1e,DAI,Stable,Variable,118517859770154540680341369,37035719540309081360682739,1618614909
12254049:176:0x84b5f2e6e28000074a32dbd30859b67e9f4d5ef6675a7d9dee71af1cc62655f5:256:256,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x20d3731362f3fa892c0d5a0585385b2e0b304a1e,DAI,Variable,Stable,118525178560508833375287531,37050357121017666750575061,1618614979
12254110:121:0xa68b9501442d49bc9fe53f7b2bd1a70c824a02a431ccc4d5726a4657ddce00a5:334:334,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xdf0e65ee0d00124ceb54567c35c90117f4b280ce,DAI,Variable,Stable,119322791653892111533125123,38645583307784223066250245,1618615831
12254113:243:0xa52ef6b80e52a9b462527f58dca26b76b3d8c677b08df943cffbaa91b7f57b44:297:297,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe97f5363b77424332aae94e358a41ccbeb9e454b,USDC,Variable,Stable,109364479324590706520231264,38728958649181413040462528,1618615856
12254299:148:0xe0fc0f93f76d8f059bd856a7de8332c60892dcc643ff5e1047b4a0a6be0fbb23:319:319,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0b70cc5adaea9b0ff501462aca230977ac98a37f,DAI,Variable,Stable,119520629916426055692377626,39041259832852111384755253,1618618316
12254316:178:0x11969d443d7f6f72725fa05f394bc40f5dcfc647227ac34697198e31e9e49f45:328:328,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x1762371dd9c2caf3301640427346185075de6469,DAI,Variable,Stable,119520631940890411567987093,39041263881780823135974186,1618618506
12254348:176:0x23e407baba5d535c01c1e33055218aca9f201572813a1b07f00f2e58dcccb901:277:277,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x1762371dd9c2caf3301640427346185075de6469,USDT,Variable,Stable,146331186405873593010789138,66331186405873593010789138,1618618926
12254627:189:0x81cc1ea06699d7667cf2b5409ddfcb9b592eb391e62bdad53494d113f9494c84:206:206,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2314ed6c3e79b05365fb14b6bb832f03555104eb,DAI,Variable,Stable,119959751227096285129414375,39919502454192570258828750,1618622430
12254633:143:0x1447f7815bd6992d56574622e3b1e6d5905723aa3130007c6c71b422798b1ac5:214:214,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2314ed6c3e79b05365fb14b6bb832f03555104eb,USDC,Variable,Stable,109961679113043821422081417,39923358226087642844162834,1618622527
12254684:165:0xcf854ce383440587ae1707c64bb1985428539382b4a080ae4c7eaa82a6c94dbd:86:86,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd49ef3da325825d5765a4afb2832919202fec31f,USDT,Variable,Stable,249718441817317691413115244,169718441817317691413115244,1618623358
12254749:95:0x35156aee492ad7717159fdea66eeac7416429f9b08df78c6d08c366983a06d17:162:162,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x989b3482f2540d61e1ac2bdfceb5940e4709ac19,USDC,Variable,Stable,151564041696264591950090642,81564041696264591950090642,1618624152
12255002:124:0x2d4b7d00b8bac4a571d253d4338501b1fb25a6d284467c5d6f83a01b16e76979:163:163,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3e17fac953de2cd729b0ace7f6d4353387717e9e,USDC,Stable,Variable,150473956757567515611838040,80473956757567515611838040,1618627644
12255004:344:0xcd2a87ba40d5ca623151d5717ec44241f52400f14a354ca0b9326c25b3b7d741:103:103,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3e17fac953de2cd729b0ace7f6d4353387717e9e,USDC,Variable,Stable,150474006861936569535314702,80474006861936569535314702,1618627677
12255327:56:0x08fe2aaf5e9cdd2a692b2331023f7cc85f14a6c7bdc42da1b105ccde6875cb3f:85:85,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x16f037a3ddf53da1b047a926e1833219f0a8e1fc,DAI,Variable,Stable,137286679496236972809718328,57286679496236972809718328,1618632012
12258507:74:0x700cff1d1331f5a7476607c8b7c9d65599fcbc318dbae037fa3b0500d4821dbd:155:155,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7bebf3d7eb8351edea30564d07f17cda22e65467,USDC,Stable,Variable,179398053357236373371741744,109398053357236373371741744,1618674463
12261904:118:0x069d00055245cbd06628e34c3f15273246c77a01f18c0ccb3604f2d0d474a0d5:333:333,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xec24326dd4e8ea371b22a83912f5b1a420c9ef79,USDC,Variable,Stable,108944211018086539033108825,37888422036173078066217650,1618719232
12261989:78:0xe0660f44661f46241912d543febf7e4209cac0e64920b65b5316dadd8f9b8c21:280:280,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x340dcbd638d756b0e2c5a89336150c3ff0dbd79f,DAI,Variable,Stable,191461193193983136253137593,111461193193983136253137593,1618720243
12262004:247:0xb95003a3dacebbf475c29df897ba41228bf61a5148c0f3c08610c1e8e8d08e6b:307:307,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xdc161c454ea8782ccd60de7af5d618175f52ca69,USDC,Variable,Stable,109152373039004449574848136,38304746078008899149696271,1618720472
12262411:67:0x8dd3516769c0205b336b5f90ece2136a46deb038111485ab237851fdba868f60:113:113,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc190dcca8c65e47592d80ec4678c24e658de1544,USDC,Variable,Stable,109354027751041798411229090,38708055502083596822458180,1618726279
12262613:181:0x48226e8831e92d3498e84c44d261fe3d94268a14fdc2785ec7f68327f8afc2cd:187:187,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd67cce92218517b4963ee843b3a454d382691f6e,USDC,Stable,Variable,109139384717051922601800228,38278769434103845203600456,1618728994
12262616:51:0x1ca0d020f313b20c3c2a571020b57072c56896210eb37ade530f813a423aa897:67:67,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd67cce92218517b4963ee843b3a454d382691f6e,USDC,Variable,Stable,109139384995541235407736573,38278769991082470815473146,1618729038
