id,amount,timestamp,reserve,user,caller,pool,borrowRate,borrowRateMode,stableTokenDebt,variableTokenDebt
13920911:101:0xf0427b992ad45aaec5644c68127902fafe9cf1b27598ff95cc58a0ede88a8168:141:141,400000000,1641058705,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc16414ac1fedfdac4f8a09674d994e1bbb9d7113,0xc16414ac1fedfdac4f8a09674d994e1bbb9d7113,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,3025426511564104070893372,Variable,0,3212117538
13921069:77:0xc950f2ed054077a7c905c7afc30b7511922508e4d41cd3d7061ed34cc6692c7e:196:196,25000000,1641060705,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x9acfe4b2c142d60864662453ac84e0e92595d005,0x9acfe4b2c142d60864662453ac84e0e92595d005,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,3026640860008932723581955,Variable,0,24776207
13922517:5:0xb82e25cb2171016707d242f43d6838b8ab8999933171b4610b649049e852a772:26:26,1650000000,1641079765,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3b15cec2d922ab0ef74688bcc1056461049f89cb,0x3b15cec2d922ab0ef74688bcc1056461049f89cb,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,3038603108480621823586785,Variable,0,1635226685
13923881:31:0xbef0922050ee2a378e4458a4559fef432600e53a06286129db50c8509c10ff9f:38:38,54254691,1641097865,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x09b88a5226a88c725e3a2531fc44ad3fbe201f96,0x09b88a5226a88c725e3a2531fc44ad3fbe201f96,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2986029260617752557964542,Variable,0,53768828
13925110:270:0xedae7855ab8186821f07f036c2c97a621f942bc90296b504378fec3f7d45d7c5:376:376,5500000000,1641114387,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2af33e93f68b8497bb535c492f5867c7e83f2bc4,0x2af33e93f68b8497bb535c492f5867c7e83f2bc4,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,3255666745633763419291611,Variable,0,5450737774
13926715:66:0x20336fa4412e6723c8a021018582de501166b68f7797eb6da8369ea00c1248c7:78:78,53000000,1641135755,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x03bf6d33dc4269f4262d3a75030cd318f3dab32b,0x03bf6d33dc4269f4262d3a75030cd318f3dab32b,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,3256541314690482319005202,Variable,0,52525175
13926996:198:0xc029e97f1e3d12de282cec5e38102dbecbc440b6f4d4977e06c89fe62793e2cd:285:285,100000000,1641139233,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x1b004189e64d5b2f71d5be554470e6c49e10123b,0x1b004189e64d5b2f71d5be554470e6c49e10123b,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,3261436813189558336318992,Variable,0,496583869
13928791:122:0x3d1418a924ebc6d4ed6929761777ac2a0785197e743a23f40d1749aa23e301d8:179:179,119000000,1641163047,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5daf04975aa44545b5aecfd66be15f4cc6ed8406,0x5daf04975aa44545b5aecfd66be15f4cc6ed8406,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2973158687927224594957472,Variable,0,1040592877
13928956:140:0x2b76b30c07ba0bc2d47672664884e6f16eefd924aed7caa4f0e7a135cde63771:170:170,5200000000,1641165144,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2af33e93f68b8497bb535c492f5867c7e83f2bc4,0x2af33e93f68b8497bb535c492f5867c7e83f2bc4,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,3225549986422238947486509,Variable,0,5153398655
13939939:50:0x02869c6e37a3b200fd55bf70f6559a50ea36d58800408ad409c8ecaa583e63c6:97:97,49774650,1641312122,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x6bc7428e0ec2eca50037637cd091bf066cb5b30b,0x6bc7428e0ec2eca50037637cd091bf066cb5b30b,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2934857415969490683325095,Variable,0,49327885
