id,pool,user,reserve,borrowRateFrom,borrowRateTo,timestamp
11632972:138:0x831f1013e68c4058719865d61dbb5fecb4d694961fa363b68fcd874106a3c775:252:252,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x21cf5649ee1a9362202ebff266ef7bbc8c26a917,TUSD,72411412174632360434128443,798200706328097256230054839,1610359772
11632965:101:0xdff7bde192a163864862cbca844dbaa490262ab6c1b0ccfdf2933844a3e0061d:200:200,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf8eda077aec1b2f48dbd42bb87eef2b64efb28a4,TUSD,58485482329117952838598361,798199790056688625733580145,1610359710
11597487:40:0xac1c3dec96b3cc1adaaf07ae13e986b5ff1ccce2f07e4945fa1e7131c0c1a4ad:63:63,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x67e5ab5b573f01030a1076dda7a79ef0f31a1bfa,TUSD,52568068933692644096065976,810000000000000000000000000,1609888588
11597224:108:0x2d3b76c987ecfe1df4101643ef753d94328b181bb9a04f8e7d7acb6cdf08b22d:226:226,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x39ed3bf3e177fe08c5de25dbb4fd972e8b3c6c46,TUSD,42841837840481946680855662,801992257140316341675172391,1609885097
11590309:74:0x01623d19012747c819a686aae5efbefdab3592a13162dbebf6425c2e074aa9bc:118:118,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x39ed3bf3e177fe08c5de25dbb4fd972e8b3c6c46,TUSD,57118834131702183926743778,794953488332429551215438968,1609793871
