timestamp  ,date       ,total               ,ethereumV1             ,ethereumV2          ,avaxV2               ,avaxV3                ,polygonV2            ,polygonV3            ,arbitrumV3           ,optimismV3              ,fantomV3              ,harmonyV3
1647734400 ,20/03/2022 , 69172.22434543142  ,2.6821671894953036     , 36353.547671089225 ,22947.874703572244   ,    5.316739974059626 , 9799.270543013046   ,  41.191968789909566 ,  10.357051979200216 ,    0.1635690988325593  , 11.21333853412494    ,   0.6065921912797694
1647820800 ,21/03/2022 , 64649.36589945305  ,0.36241724792815777    , 35525.41317407299  ,22552.66867072023    ,    5.326323370772498 , 6507.039618865201   ,  34.43148236843399  ,  13.190378577628074 ,    0.266820913886674   ,  9.720997705588193   ,   0.9460156103790023
1647907200 ,22/03/2022 , 65439.65223886167  ,0.29028978209874257    , 38581.454264190645 ,22488.2027268904     ,    4.873705920205468 , 4302.8336891070085  ,  36.3567444580229   ,  11.54868956586223  ,    0.5894528448703584  , 12.675114461246375   ,   0.827561641310594
1647993600 ,23/03/2022 , 68035.4216662638   ,0.20418314809469537    , 41745.30617075037  ,22063.05960833656    ,    7.493158059285136 , 4151.898608046288   ,  37.849418651493444 ,  14.703821841137646 ,    0.27116008027614147 , 13.661260549734461   ,   0.9742768005676548
1648080000 ,24/03/2022 , 71986.21403475653  ,0                      , 45785.09257015967  ,21947.586180040453   ,   18.58966016058338  , 4103.5786053472     ,  46.45137280927348  ,  69.70446888698339  ,    1.0827327009664458  , 11.941517948816415   ,   2.186926702603956
1648166400 ,25/03/2022 , 74059.06664174129  ,0                      , 47108.76985397523  ,22591.88126645973    ,   14.211229096164319 , 4209.650834358655   ,  50.154463189287284 ,  62.214282034930285 ,    1.5001812184273442  , 18.07298700387303    ,   2.6115444049879
1648252800 ,26/03/2022 , 72337.37110507123  ,0                      , 44648.15153748228  ,23239.377583471363   ,   21.0878254823426   , 4286.775355356556   ,  48.29492053944418  ,  54.31587471466987  ,    1.927155262608589   , 34.853983102440914   ,   2.5868696595441523
1648339200 ,27/03/2022 , 75987.12219912343  ,0                      , 45920.6921694083   ,25663.176402935784   ,   23.422925798832832 , 4214.163580820447   ,  57.2391981243608   ,  74.98063406897836  ,    3.6452492638779974  , 27.19668622277171    ,   2.6053524800814962
1648425600 ,28/03/2022 , 72792.02640904537  ,0                      , 43364.61188868532  ,25010.79268322422    ,   24.353476873489917 , 4192.458186378178   , 100.43755895734218  ,  51.47390706503136  ,    3.3267434448930135  , 36.01080016915423    ,   8.56116424775216
1648512000 ,29/03/2022 , 83024.8748560616   ,0                      , 53076.59463916311  ,25449.591262302823   ,   28.049184546661703 , 4294.535671274985   ,  71.50969315600409  ,  47.16072989253673  ,    4.012490518911909   , 43.97039838473102    ,   9.450786821830661
1648598400 ,30/03/2022 , 83109.6566134187   ,9.524578336778793e-07  , 53262.54121999283  ,25487.390514706884   ,   24.687752931369005 , 4177.455417000155   ,  72.06828707778536  ,  30.969410937052857 ,    4.97089205830901    , 43.348282781060924   ,   6.224834980796661
1648684800 ,31/03/2022 , 80188.45564602413  ,0                      , 50248.81244747718  ,25668.434883511516   ,   46.83116037453034  , 4072.248009109745   ,  77.27921391640379  ,  28.3958795233672   ,    5.61918922562987    , 35.686671952841465   ,   5.1481909328972595
1648771200 ,01/04/2022 , 80915.93705758982  ,0.017364547692823768   , 48681.82888697353  ,25737.157995111706   ,   54.741078185244845 , 6266.392626003171   ,  96.92335170267921  ,  35.93244835619136  ,    5.32941431671622    , 32.68371520636017    ,   4.930177186534037
1648857600 ,02/04/2022 , 78188.02472313358  ,0.0009465120922789586  , 47343.310803900094 ,25692.54443491313    ,   31.875739190303378 , 4901.676002830683   ,  91.0759606873927   ,  58.31592824503105  ,    3.8270079370985246  , 61.39613097968637    ,   4.001767938064889
1648944000 ,03/04/2022 , 82474.21299025293  ,0                      , 49542.62876073851  ,25785.944943277515   ,   52.54713388413794  , 6664.359350558978   , 136.94236421454525  ,  79.31923600914287  ,    4.671123419066693   ,203.65899086634545    ,   4.141087284675619
1649030400 ,04/04/2022 , 80947.25034743069  ,0                      , 49501.97330918826  ,24898.541521761665   ,   48.74381240921068  , 6241.273824458342   , 113.83581138915126  ,  39.74424573865928  ,    4.7384237026820175  , 91.74774563481475    ,   6.651653147895005
1649116800 ,05/04/2022 , 79880.91649490417  ,3.147489112698108e-05  , 49147.198696009    ,24355.82639994319    ,   52.07169020089724  , 6086.958512502995   , 140.6506484832085   ,  41.59126640971886  ,    4.991844393191465   , 43.49030879038663    ,   8.137096696690712
1649203200 ,06/04/2022 , 77096.71000392901  ,0                      , 47957.70502278791  ,23835.473797046685   ,   47.38650237788657  , 5033.102707192591   , 113.53582494627     ,  46.022375823110735 ,    5.1117879286261045  , 50.19613446078428    ,   8.175851365126501
1649289600 ,07/04/2022 , 77882.56426994891  ,0                      , 49569.66714981638  ,22922.168380042902   ,   36.86680339903006  , 5007.846761949949   , 171.97112853189486  ,  58.70825894957764  ,    4.99273787746924    , 96.0923304748415     ,  14.250718906858145
1649376000 ,08/04/2022 , 75927.58014533538  ,0                      , 48793.6619595021   ,22630.511127300553   ,   55.30066769620285  , 4107.580958998724   , 141.48622075497363  , 102.97903753347988  ,    5.705553365676216   , 73.10754375400927    ,  17.247076429660858
1649462400 ,09/04/2022 , 77451.51482595595  ,0                      , 50443.23620409286  ,22497.163662816874   ,   46.56585552253682  , 4178.263388809112   , 133.2419808399801   , 100.37087122841457  ,    1.301902440599658   , 39.804676594457405   ,  11.566283611110045
