Date,total_value_locked,total_borrowed
2019-10-23,105841657.68,41488285.95
2019-10-24,105935831.39,40938398.14
2019-10-25,106618621.01,40810983.92
2019-10-26,114397243.35,41032082.88
2019-10-27,116001640.73,40469317.41
2019-10-28,116735428.52,40444895.23
2019-10-29,118714840.54,40051539.96
2019-10-30,117001079.79,40270052.06
2019-10-31,115157568.40,40536839.14
2019-11-01,117045010.48,40658917.04
2019-11-02,116898532.84,40290443.24
2019-11-03,115145514.61,40313593.05
2019-11-04,114080006.45,38783564.43
2019-11-05,110256903.93,35848797.57
2019-11-06,108787842.29,33921280.88
2019-11-07,105822518.76,33655205.92
2019-11-08,104367697.71,33353058.55
2019-11-09,103502434.46,32351658.59
2019-11-10,103559887.48,32468364.42
2019-11-11,100972938.50,31952831.54
2019-11-12,99870150.84,31363797.13
2019-11-13,93312617.35,31164487.61
2019-11-14,92546832.23,31239397.33
2019-11-15,91406839.58,31397953.94
2019-11-16,89643552.11,31370988.23
2019-11-17,90517541.45,31442210.76
2019-11-18,88331220.15,31469128.88
2019-11-19,87520610.69,31853017.90
2019-11-20,86771917.95,31437840.23
2019-11-21,85993132.35,31049662.73
2019-11-22,83434728.48,29443346.53
2019-11-23,84365531.96,28055320.00
2019-11-24,84982764.40,27830036.37
2019-11-25,81362775.46,26599364.07
2019-11-26,83853524.14,26821280.25
2019-11-27,81921221.91,26912891.03
2019-11-28,85845207.85,27154698.17
2019-11-29,88014709.09,27786423.89
2019-11-30,87964657.43,27812016.62
2019-12-01,84897160.37,27402898.93
2019-12-02,84663275.17,27669637.19
2019-12-03,87519688.58,27321954.12
2019-12-04,86722734.04,26891523.44
2019-12-05,85860868.09,27163051.50
2019-12-06,85524401.76,27381465.34
2019-12-07,83517195.89,27227656.18
2019-12-08,82893364.44,25177862.94
2019-12-09,89858787.68,25457581.56
2019-12-10,85224603.59,25990948.96
2019-12-11,84129894.53,25831060.41
2019-12-12,85810188.09,26279076.23
2019-12-13,86207655.73,26518475.50
2019-12-14,85935240.73,26386654.30
2019-12-15,85086468.66,26211349.77
2019-12-16,84296383.82,26156817.01
2019-12-17,81650691.37,25779418.72
2019-12-18,77311691.87,25418479.57
2019-12-19,79166057.51,25978753.77
